DAY,TICKER,COMPANY_NAME,TOTAL_SHARES,SHORTS,SIR,RSI,BF,ADV,PUBLIC,PRICE_PER_SHARE,SS
1,AMC,AMC Entertainment Holdings,200000000,5198362,1.01,29.97,0.12,5165635,14000000,20.07,0
2,AMC,AMC Entertainment Holdings,200000000,5389264,1.03,30.49,0.12,5221380,14000000,20.12,0
3,AMC,AMC Entertainment Holdings,200000000,5527435,1.05,30.25,0.12,5273736,14000000,20.09,0
4,AMC,AMC Entertainment Holdings,200000000,4120576,0.64,32.55,0.12,6416802,14000000,22.09,1
5,AMC,AMC Entertainment Holdings,200000000,3453519,0.42,35.56,0.12,8253701,14000000,23.77,1
6,AMC,AMC Entertainment Holdings,200000000,2441543,0.26,38.91,0.12,9347684,14000000,26.62,1
7,AMC,AMC Entertainment Holdings,200000000,1850427,0.17,41.51,0.12,10774202,14000000,31.71,1
8,AMC,AMC Entertainment Holdings,200000000,1595841,0.12,45.61,0.12,13222225,14000000,36.81,1
9,AMC,AMC Entertainment Holdings,200000000,1234194,0.08,48.19,0.12,16108441,14000000,42.12,1
10,AMC,AMC Entertainment Holdings,200000000,952448,0.05,48.97,0.12,20468466,14000000,45.61,1
11,AMC,AMC Entertainment Holdings,200000000,675824,0.03,51.65,0.12,22724248,14000000,52.35,1
12,AMC,AMC Entertainment Holdings,200000000,515846,0.02,54.38,0.12,25410049,14000000,61.86,1
13,AMC,AMC Entertainment Holdings,200000000,455468,0.02,58.28,0.12,29771816,14000000,73.19,1
14,AMC,AMC Entertainment Holdings,200000000,398975,0.01,61.63,0.12,36619785,14000000,89.55,1
15,AMC,AMC Entertainment Holdings,200000000,314702,0.01,63.65,0.12,46002526,14000000,93.83,1
16,AMC,AMC Entertainment Holdings,200000000,282021,0.01,68.18,0.12,51696449,14000000,107.73,1
17,AMC,AMC Entertainment Holdings,200000000,187070,0.0,70.8,0.12,58419306,14000000,116.25,1
18,AMC,AMC Entertainment Holdings,200000000,169699,0.0,76.25,0.12,67874935,14000000,143.12,1
19,AMC,AMC Entertainment Holdings,200000000,122463,0.0,79.82,0.12,86720994,14000000,166.43,1
20,AMC,AMC Entertainment Holdings,200000000,101284,0.0,81.79,0.12,95580067,14000000,185.55,1
21,AMC,AMC Entertainment Holdings,200000000,122371,0.0,82.48,0.12,110411693,14000000,188.75,1
22,AMC,AMC Entertainment Holdings,200000000,102948,0.0,83.67,0.12,122975188,14000000,219.09,1
23,AMC,AMC Entertainment Holdings,200000000,119726,0.0,84.73,0.12,141997055,14000000,230.93,1
24,AMC,AMC Entertainment Holdings,200000000,87269,0.0,87.84,0.12,169034006,14000000,263.35,1
25,AMC,AMC Entertainment Holdings,200000000,81208,0.0,79.44,0.12,162456656,14000000,208.99,0
26,AMC,AMC Entertainment Holdings,200000000,81061,0.0,71.43,0.12,156819527,14000000,166.91,0
27,AMC,AMC Entertainment Holdings,200000000,77895,0.0,63.45,0.12,152322552,14000000,134.02,0
28,AMC,AMC Entertainment Holdings,200000000,86924,0.0,54.53,0.12,146466065,14000000,104.32,0
29,AMC,AMC Entertainment Holdings,200000000,91590,0.0,47.3,0.12,143212495,14000000,84.97,0
30,AMC,AMC Entertainment Holdings,200000000,93526,0.0,40.65,0.12,137167913,14000000,70.63,0
