DAY,TICKER,COMPANY_NAME,TOTAL_SHARES,SHORTS,SIR,RSI,BF,ADV,PUBLIC,PRICE_PER_SHARE,SS
1,AMD,Advanced Micro Devices Inc.,190000000,23905398,0.77,49.97,0.1,31012485,170000000,100.35,0
2,AMD,Advanced Micro Devices Inc.,190000000,24813207,0.79,50.49,0.1,31385021,170000000,100.59,0
3,AMD,Advanced Micro Devices Inc.,190000000,25382001,0.8,50.25,0.1,31706408,170000000,100.46,0
4,AMD,Advanced Micro Devices Inc.,190000000,25266675,0.84,50.48,0.1,30200277,170000000,100.05,0
5,AMD,Advanced Micro Devices Inc.,190000000,25314769,0.86,49.08,0.1,29468214,170000000,100.18,0
6,AMD,Advanced Micro Devices Inc.,190000000,25116859,0.88,49.99,0.1,28434769,170000000,99.98,0
7,AMD,Advanced Micro Devices Inc.,190000000,24966691,0.91,48.81,0.1,27376512,170000000,99.89,0
8,AMD,Advanced Micro Devices Inc.,190000000,25198044,0.96,48.9,0.1,26371364,170000000,99.32,0
9,AMD,Advanced Micro Devices Inc.,190000000,25408281,1.0,49.82,0.1,25500000,170000000,99.53,0
10,AMD,Advanced Micro Devices Inc.,190000000,25448696,1.0,51.51,0.1,25500000,170000000,99.76,0
11,AMD,Advanced Micro Devices Inc.,190000000,25194736,0.99,50.93,0.1,25500000,170000000,99.44,0
12,AMD,Advanced Micro Devices Inc.,190000000,25343619,0.99,50.11,0.1,25500000,170000000,99.86,0
13,AMD,Advanced Micro Devices Inc.,190000000,25279978,0.99,49.93,0.1,25500000,170000000,99.51,0
14,AMD,Advanced Micro Devices Inc.,190000000,25270878,0.99,50.33,0.1,25500000,170000000,100.03,0
15,AMD,Advanced Micro Devices Inc.,190000000,25257948,0.99,50.84,0.1,25500000,170000000,100.87,0
16,AMD,Advanced Micro Devices Inc.,190000000,25247889,0.99,50.76,0.1,25500000,170000000,101.05,0
17,AMD,Advanced Micro Devices Inc.,190000000,25367990,0.99,49.23,0.1,25500000,170000000,100.88,0
18,AMD,Advanced Micro Devices Inc.,190000000,25585791,1.0,48.67,0.1,25500000,170000000,100.57,0
19,AMD,Advanced Micro Devices Inc.,190000000,25543241,1.0,48.31,0.1,25500000,170000000,99.93,0
20,AMD,Advanced Micro Devices Inc.,190000000,25335336,0.99,48.97,0.1,25500000,170000000,99.87,0
21,AMD,Advanced Micro Devices Inc.,190000000,25287235,0.99,48.76,0.1,25500000,170000000,99.98,0
22,AMD,Advanced Micro Devices Inc.,190000000,25205700,0.99,48.66,0.1,25500000,170000000,100.3,0
23,AMD,Advanced Micro Devices Inc.,190000000,25112402,0.98,47.0,0.1,25500000,170000000,100.39,0
24,AMD,Advanced Micro Devices Inc.,190000000,25038539,0.98,46.89,0.1,25500000,170000000,100.27,0
25,AMD,Advanced Micro Devices Inc.,190000000,25094852,0.98,46.94,0.1,25500000,170000000,101.36,0
26,AMD,Advanced Micro Devices Inc.,190000000,25151453,0.99,47.09,0.1,25500000,170000000,101.05,0
27,AMD,Advanced Micro Devices Inc.,190000000,24927493,0.98,46.82,0.1,25500000,170000000,100.65,0
28,AMD,Advanced Micro Devices Inc.,190000000,24784048,0.97,46.79,0.1,25500000,170000000,100.76,0
29,AMD,Advanced Micro Devices Inc.,190000000,24995263,0.98,46.96,0.1,25500000,170000000,100.4,0
30,AMD,Advanced Micro Devices Inc.,190000000,25074448,0.98,47.04,0.1,25500000,170000000,100.32,0
