DAY,TICKER,COMPANY_NAME,TOTAL_SHARES,SHORTS,SIR,RSI,BF,ADV,PUBLIC,PRICE_PER_SHARE,SS
0,GME,GameStop Corp.,447908690,494662832,12.34,53.13,0.226,40090000.0,408643397,4.31,0
1,GME,GameStop Corp.,447908690,494662832,16.51,53.59,0.226,29968000.0,408643397,4.34,0
2,GME,GameStop Corp.,447908690,494662832,17.63,57.33,0.219,28053600.0,408643397,4.59,0
3,GME,GameStop Corp.,447908690,494662832,18.21,55.95,0.163,27169500.0,408643397,4.52,0
4,GME,GameStop Corp.,447908690,494662832,18.37,54.01,0.217,26921200.0,408643397,4.42,0
5,GME,GameStop Corp.,447908690,494662832,15.28,62.16,0.217,32373000.0,408643397,4.99,0
6,GME,GameStop Corp.,447908690,494662832,15.56,62.2,0.245,31782971.0,408643397,4.99,0
7,GME,GameStop Corp.,447908690,494662832,4.94,81.52,0.224,100060950.0,408643397,7.85,0
8,GME,GameStop Corp.,447908690,494662832,3.79,86.88,0.273,130595244.0,408643397,9.98,0
9,GME,GameStop Corp.,447908690,429239024,3.15,74.77,0.453,136282280.0,408643397,8.88,0
10,GME,GameStop Corp.,447908690,429239024,2.84,77.7,0.312,151064582.0,408643397,9.84,0
11,GME,GameStop Corp.,447908690,429239024,2.87,77.1,0.255,149633133.0,408643397,9.78,0
12,GME,GameStop Corp.,447908690,429239024,2.76,79.83,0.258,155420400.0,408643397,10.76,0
13,GME,GameStop Corp.,447908690,429239024,2.14,88.29,0.236,200649771.0,408643397,16.25,1
14,GME,GameStop Corp.,447908690,429239024,1.83,90.57,0.327,234706187.0,408643397,19.2,1
15,GME,GameStop Corp.,447908690,429239024,1.62,95.84,0.836,264684050.0,408643397,36.99,1
16,GME,GameStop Corp.,447908690,429239024,1.58,98.45,0.509,271090094.0,408643397,86.88,1
17,GME,GameStop Corp.,447908690,429239024,1.6,64.7,0.42,269099711.0,408643397,48.4,1
18,GME,GameStop Corp.,447908690,148746196,0.56,73.16,0.36,265582063.0,408643397,81.25,1
19,GME,GameStop Corp.,447908690,148746196,0.57,61.15,0.28,259779400.0,408643397,56.25,1
20,GME,GameStop Corp.,447908690,148746196,0.54,49.37,0.2,273411520.0,408643397,22.5,0
21,GME,GameStop Corp.,447908690,148746196,0.53,49.56,0.15,280958920.0,408643397,23.1,0
22,GME,GameStop Corp.,447908690,148746196,0.51,46.57,0.1,292233140.0,408643397,13.38,0
23,GME,GameStop Corp.,447908690,148746196,0.48,47.47,0.09,307276280.0,408643397,15.94,0
24,GME,GameStop Corp.,447908690,148746196,0.48,47.15,0.04,311117340.0,408643397,15.0,0
25,GME,GameStop Corp.,447908690,148746196,0.47,46.31,0.03,313504360.0,408643397,12.58,0
26,GME,GameStop Corp.,447908690,148746196,0.47,46.4,0.02,319383220.0,408643397,12.8,0
27,GME,GameStop Corp.,447908690,148746196,0.51,46.39,0.02,293094220.0,408643397,12.77,0
28,GME,GameStop Corp.,447908690,134157627,0.48,46.55,0.02,277265400.0,408643397,13.1,0
