TICKER,COMPANY_NAME,TOTAL_SHARES,SIR,RSI,BF,ADV,PUBLIC
AAPL,Apple Inc.,7135253148,0.29,55.5,0.016,59608521,0.59
MSFT,Microsoft Corporation,347596351,0.16,65.2,0.006,14908738,0.64
GOOG,Alphabet Inc. (Google),284799140,0.14,59.6,0.010,37050339,0.27
AMZN,Amazon.com Inc.,1356654201,0.24,54.5,0.012,41844587,0.58
NVDA,NVIDIA Corporation,3376062168,0.29,59.5,0.020,24500947,0.56
META,Meta Platforms Inc. (Facebook),522054010,0.16,44.0,0.007,19382047,0.54
TSLA,Tesla Inc.,1324570934,0.25,38.0,0.015,36293482,0.53
BRK.B,Berkshire Hathaway Inc.,2012345678,0.12,48.0,0.008,9000012,0.38
JPM,JPMorgan Chase & Co.,703473827,0.19,51.2,0.009,12004980,0.49
V,Visa Inc.,989234573,0.17,46.7,0.010,30451238,0.42
TSM,Taiwan Semiconductor Manufacturing Company,2650983470,0.22,53.6,0.013,42107567,0.58
BABA,Alibaba Group Holding Ltd.,984573210,0.20,45.9,0.011,18320945,0.44
NFLX,Netflix Inc.,356782901,0.18,50.1,0.015,14560312,0.47
XOM,ExxonMobil Corporation,1345789132,0.10,67.4,0.006,30218745,0.35
JNJ,Johnson & Johnson,1029345789,0.11,60.9,0.007,26098423,0.39
BAC,Bank of America Corporation,812367984,0.15,42.3,0.009,19123456,0.41
WMT,Walmart Inc.,4123679845,0.13,49.8,0.008,20798431,0.36
AVGO,Broadcom Inc.,1178945612,0.21,55.0,0.012,23896547,0.52
DIS,The Walt Disney Company,688234109,0.24,38.7,0.014,17543289,0.50
ORCL,Oracle Corporation,923847561,0.16,47.4,0.011,13398472,0.43
