DAY,TICKER,COMPANY_NAME,TOTAL_SHARES,SHORTS,SIR,RSI,BF,ADV,PUBLIC,PRICE_PER_SHARE,SS
0,AAPL,Apple Inc.,500000000,15000000,0.5,50.0,0.1,30000000.0,480000000,100.0,0
1,AAPL,Apple Inc.,500000000,14958521,0.48,50.15,0.102,30913817.91,480000000,100.5,0
2,AAPL,Apple Inc.,500000000,15430974,0.5,51.46,0.104,30623553.0,480000000,100.26,0
3,AAPL,Apple Inc.,500000000,15287241,0.52,49.38,0.105,29451724.22,480000000,99.8,0
4,AAPL,Apple Inc.,500000000,14977573,0.52,47.76,0.106,28916866.73,480000000,99.24,0
5,AAPL,Apple Inc.,500000000,14909942,0.53,47.44,0.106,28092881.66,480000000,100.69,0
6,AAPL,Apple Inc.,500000000,14566717,0.52,47.5,0.107,27755408.23,480000000,100.8,0
7,AAPL,Apple Inc.,500000000,15106349,0.56,49.24,0.107,27168264.25,480000000,100.2,0
8,AAPL,Apple Inc.,500000000,15169452,0.57,50.03,0.101,26446574.06,480000000,98.97,0
9,AAPL,Apple Inc.,500000000,15221444,0.58,48.31,0.101,26287310.84,480000000,99.7,0
10,AAPL,Apple Inc.,500000000,15081212,0.57,46.17,0.104,26467966.85,480000000,98.99,0
11,AAPL,Apple Inc.,500000000,14965062,0.56,48.22,0.102,26791763.41,480000000,99.31,0
12,AAPL,Apple Inc.,500000000,14713883,0.55,50.18,0.101,26969266.04,480000000,100.23,0
13,AAPL,Apple Inc.,500000000,14659248,0.56,51.9,0.098,26324049.75,480000000,99.75,0
14,AAPL,Apple Inc.,500000000,14638135,0.55,51.43,0.1,26514444.24,480000000,101.1,0
15,AAPL,Apple Inc.,500000000,15088415,0.55,48.0,0.1,27344157.38,480000000,101.47,0
16,AAPL,Apple Inc.,500000000,15114683,0.55,45.52,0.099,27394339.8,480000000,102.3,0
17,AAPL,Apple Inc.,500000000,15222636,0.56,44.81,0.104,27110386.39,480000000,102.08,0
18,AAPL,Apple Inc.,500000000,15501333,0.58,46.08,0.105,26823146.32,480000000,101.57,0
19,AAPL,Apple Inc.,500000000,15801638,0.59,45.99,0.103,26647367.72,480000000,101.66,0
20,AAPL,Apple Inc.,500000000,15895222,0.6,46.14,0.103,26650092.93,480000000,100.18,0
21,AAPL,Apple Inc.,500000000,15761497,0.6,46.39,0.102,26222477.65,480000000,98.76,0
22,AAPL,Apple Inc.,500000000,16356079,0.62,46.78,0.103,26357549.84,480000000,99.16,0
23,AAPL,Apple Inc.,500000000,16347406,0.59,46.99,0.103,27656050.37,480000000,97.26,0
24,AAPL,Apple Inc.,500000000,16336057,0.58,48.62,0.1,28288169.68,480000000,97.55,0
25,AAPL,Apple Inc.,500000000,16038941,0.58,50.0,0.104,27495053.66,480000000,98.32,0
26,AAPL,Apple Inc.,500000000,15721198,0.57,49.75,0.102,27549852.06,480000000,100.47,0
27,AAPL,Apple Inc.,500000000,15742756,0.57,48.87,0.099,27810800.08,480000000,98.92,0
28,AAPL,Apple Inc.,500000000,15496144,0.55,47.52,0.098,28263291.38,480000000,100.45,0
29,AAPL,Apple Inc.,500000000,15901258,0.56,48.41,0.093,28367658.59,480000000,100.68,0
30,AAPL,Apple Inc.,500000000,15507876,0.54,49.36,0.089,28663783.79,480000000,101.46,0
