DAY,TICKER,COMPANY_NAME,TOTAL_SHARES,SHORTS,SIR,RSI,BF,ADV,PUBLIC,PRICE_PER_SHARE,SS
0,ADBE,Adobe Inc.,550000000,30000000,0.15,41.0,0.08,200000000.0,520000000,500.0,0
1,ADBE,Adobe Inc.,550000000,30270429,0.15,42.66,0.081,201277585.27,520000000,521.24,0
2,ADBE,Adobe Inc.,550000000,30002889,0.15,44.86,0.082,202567781.66,520000000,536.54,0
3,ADBE,Adobe Inc.,550000000,30284862,0.15,46.55,0.083,203157467.0,520000000,547.93,0
4,ADBE,Adobe Inc.,550000000,30166292,0.15,48.34,0.083,204150400.17,520000000,564.92,0
5,ADBE,Adobe Inc.,550000000,29948789,0.15,50.29,0.082,205027686.83,520000000,596.96,0
6,ADBE,Adobe Inc.,550000000,29768901,0.14,51.84,0.082,206325867.01,520000000,637.02,0
7,ADBE,Adobe Inc.,550000000,29572738,0.14,54.31,0.081,208294209.56,520000000,672.98,0
8,ADBE,Adobe Inc.,550000000,29457176,0.14,56.25,0.08,209785199.77,520000000,719.08,0
9,ADBE,Adobe Inc.,550000000,29454335,0.14,58.0,0.078,211711842.63,520000000,738.73,0
10,ADBE,Adobe Inc.,550000000,29343416,0.14,59.69,0.078,212965259.83,520000000,782.87,0
11,ADBE,Adobe Inc.,550000000,29504883,0.14,61.79,0.08,214893329.35,520000000,844.07,0
12,ADBE,Adobe Inc.,550000000,29262053,0.14,63.61,0.079,215195694.06,520000000,907.64,0
13,ADBE,Adobe Inc.,550000000,24078722,0.09,68.74,0.107,265912010.85,520000000,1250.49,1
14,ADBE,Adobe Inc.,550000000,20127586,0.06,76.68,0.146,321076804.17,520000000,1761.36,1
15,ADBE,Adobe Inc.,550000000,16708482,0.04,83.51,0.176,411474739.94,520000000,2561.81,1
16,ADBE,Adobe Inc.,550000000,12913534,0.03,87.97,0.213,508519647.18,520000000,3703.88,1
17,ADBE,Adobe Inc.,550000000,10171606,0.02,93.22,0.27,613455643.6,520000000,5454.4,1
18,ADBE,Adobe Inc.,550000000,7903738,0.01,99.11,0.359,790573338.72,520000000,7445.46,1
19,ADBE,Adobe Inc.,550000000,6154447,0.01,100.0,0.485,993061085.26,520000000,9857.18,1
20,ADBE,Adobe Inc.,550000000,6152920,0.01,75.25,0.366,751991433.44,520000000,1655.55,0
21,ADBE,Adobe Inc.,550000000,6037597,0.01,72.78,0.284,577953846.27,520000000,1629.58,0
22,ADBE,Adobe Inc.,550000000,5977050,0.01,69.47,0.208,418695708.36,520000000,1656.15,0
23,ADBE,Adobe Inc.,550000000,5926783,0.02,67.89,0.142,296030524.98,520000000,1628.12,0
24,ADBE,Adobe Inc.,550000000,6014846,0.03,66.57,0.115,231301376.73,520000000,1636.81,0
25,ADBE,Adobe Inc.,550000000,6088814,0.03,62.9,0.095,177685637.23,520000000,1639.39,0
26,ADBE,Adobe Inc.,550000000,6071061,0.05,58.92,0.078,126854563.57,520000000,1621.55,0
27,ADBE,Adobe Inc.,550000000,6051005,0.06,55.93,0.054,99963103.97,520000000,1622.24,0
28,ADBE,Adobe Inc.,550000000,6008213,0.08,53.02,0.041,72942887.45,520000000,1650.98,0
29,ADBE,Adobe Inc.,550000000,6119352,0.11,49.93,0.028,54727235.78,520000000,1682.14,0
30,ADBE,Adobe Inc.,550000000,6005994,0.15,46.08,0.022,41030765.28,520000000,1667.66,0
