DAY,TICKER,COMPANY_NAME,TOTAL_SHARES,SHORTS,SIR,RSI,BF,ADV,PUBLIC,PRICE_PER_SHARE,SS
0,AMC,AMC Entertainment Holdings,200000000,5000000,1.0,30.0,0.12,5000000.0,14000000,20.0,0
1,AMC,AMC Entertainment Holdings,200000000,5045071,1.0,31.31,0.121,5031939.63,14000000,20.85,0
2,AMC,AMC Entertainment Holdings,200000000,5000481,0.99,33.73,0.123,5064194.54,14000000,21.46,0
3,AMC,AMC Entertainment Holdings,200000000,5047477,0.99,35.09,0.125,5078936.68,14000000,21.92,0
4,AMC,AMC Entertainment Holdings,200000000,5027715,0.99,36.67,0.125,5103760.0,14000000,22.6,0
5,AMC,AMC Entertainment Holdings,200000000,4991465,0.97,38.59,0.124,5125692.17,14000000,23.88,0
6,AMC,AMC Entertainment Holdings,200000000,4961483,0.96,39.68,0.124,5158146.68,14000000,25.48,0
7,AMC,AMC Entertainment Holdings,200000000,4928790,0.95,42.61,0.122,5207355.24,14000000,26.92,0
8,AMC,AMC Entertainment Holdings,200000000,4909529,0.94,44.49,0.12,5244629.99,14000000,28.76,0
9,AMC,AMC Entertainment Holdings,200000000,4909056,0.93,46.01,0.117,5292796.07,14000000,29.55,0
10,AMC,AMC Entertainment Holdings,200000000,4890569,0.92,47.38,0.117,5324131.5,14000000,31.31,0
11,AMC,AMC Entertainment Holdings,200000000,4917480,0.92,49.57,0.12,5372333.23,14000000,33.76,0
12,AMC,AMC Entertainment Holdings,200000000,4877009,0.91,51.22,0.118,5379892.35,14000000,36.31,0
13,AMC,AMC Entertainment Holdings,200000000,4013120,0.6,58.19,0.161,6647800.27,14000000,50.02,1
14,AMC,AMC Entertainment Holdings,200000000,3354598,0.42,70.1,0.219,8026920.1,14000000,70.45,1
15,AMC,AMC Entertainment Holdings,200000000,2784747,0.27,80.05,0.263,10286868.5,14000000,102.47,1
16,AMC,AMC Entertainment Holdings,200000000,2152256,0.17,85.86,0.32,12712991.18,14000000,148.16,1
17,AMC,AMC Entertainment Holdings,200000000,1695268,0.11,93.04,0.405,15336391.09,14000000,218.18,1
18,AMC,AMC Entertainment Holdings,200000000,1317290,0.07,100.0,0.538,19764333.47,14000000,297.82,1
19,AMC,AMC Entertainment Holdings,200000000,1025741,0.04,100.0,0.727,24826527.13,14000000,394.29,1
20,AMC,AMC Entertainment Holdings,200000000,1025487,0.05,88.18,0.549,18799785.84,14000000,66.22,0
21,AMC,AMC Entertainment Holdings,200000000,1006266,0.07,79.74,0.427,14448846.16,14000000,65.18,0
22,AMC,AMC Entertainment Holdings,200000000,996175,0.1,69.34,0.312,10467392.71,14000000,66.25,0
23,AMC,AMC Entertainment Holdings,200000000,987797,0.13,63.0,0.213,7400763.12,14000000,65.13,0
24,AMC,AMC Entertainment Holdings,200000000,1002474,0.17,57.24,0.173,5782534.42,14000000,65.47,0
25,AMC,AMC Entertainment Holdings,200000000,1014802,0.23,46.01,0.143,4442140.93,14000000,65.58,0
26,AMC,AMC Entertainment Holdings,200000000,1011844,0.32,34.06,0.117,3171364.09,14000000,64.86,0
27,AMC,AMC Entertainment Holdings,200000000,1008501,0.4,24.43,0.081,2499077.6,14000000,64.89,0
28,AMC,AMC Entertainment Holdings,200000000,1001369,0.55,14.97,0.061,1823572.19,14000000,66.04,0
29,AMC,AMC Entertainment Holdings,200000000,1019892,0.75,5.08,0.043,1368180.89,14000000,67.29,0
30,AMC,AMC Entertainment Holdings,200000000,1000999,0.98,0.0,0.033,1025769.13,14000000,66.71,0
