DAY,TICKER,COMPANY_NAME,TOTAL_SHARES,SHORTS,SIR,RSI,BF,ADV,PUBLIC,PRICE_PER_SHARE,SS
0,AMZN,Amazon.com Inc.,250000000,23000000,0.77,50.0,0.1,30000000.0,230000000,100.0,0
1,AMZN,Amazon.com Inc.,250000000,22984100,0.74,50.01,0.1,30913817.91,230000000,100.5,0
2,AMZN,Amazon.com Inc.,250000000,23165584,0.76,50.06,0.1,30623553.0,230000000,100.26,0
3,AMZN,Amazon.com Inc.,250000000,23111639,0.78,49.99,0.1,29451724.22,230000000,99.8,0
4,AMZN,Amazon.com Inc.,250000000,22994598,0.8,49.94,0.1,28916866.73,230000000,99.24,0
5,AMZN,Amazon.com Inc.,250000000,22968640,0.82,49.93,0.1,28092881.66,230000000,100.69,0
6,AMZN,Amazon.com Inc.,250000000,22836456,0.82,49.94,0.1,27755408.23,230000000,100.8,0
7,AMZN,Amazon.com Inc.,250000000,23047953,0.85,50.0,0.1,27168264.25,230000000,100.2,0
8,AMZN,Amazon.com Inc.,250000000,23072023,0.87,50.03,0.1,26446574.06,230000000,98.97,0
9,AMZN,Amazon.com Inc.,250000000,23091792,0.88,49.97,0.1,26287310.84,230000000,99.7,0
10,AMZN,Amazon.com Inc.,250000000,23038607,0.87,49.91,0.1,26467966.85,230000000,98.99,0
11,AMZN,Amazon.com Inc.,250000000,22994248,0.86,49.98,0.1,26791763.41,230000000,99.31,0
12,AMZN,Amazon.com Inc.,250000000,22897762,0.85,50.05,0.1,26969266.04,230000000,100.23,0
13,AMZN,Amazon.com Inc.,250000000,22876507,0.87,50.11,0.1,26324049.75,230000000,99.75,0
14,AMZN,Amazon.com Inc.,250000000,22868270,0.86,50.09,0.1,26514444.24,230000000,101.1,0
15,AMZN,Amazon.com Inc.,250000000,23044131,0.84,49.98,0.1,27344157.38,230000000,101.47,0
16,AMZN,Amazon.com Inc.,250000000,23054161,0.84,49.9,0.1,27394339.8,230000000,102.3,0
17,AMZN,Amazon.com Inc.,250000000,23095325,0.85,49.88,0.1,27110386.39,230000000,102.08,0
18,AMZN,Amazon.com Inc.,250000000,23201033,0.86,49.93,0.1,26823146.32,230000000,101.57,0
19,AMZN,Amazon.com Inc.,250000000,23313401,0.87,49.93,0.1,26647367.72,230000000,101.66,0
20,AMZN,Amazon.com Inc.,250000000,23347918,0.88,49.94,0.1,26650092.93,230000000,100.18,0
21,AMZN,Amazon.com Inc.,250000000,23298813,0.89,49.95,0.1,26222477.65,230000000,98.76,0
22,AMZN,Amazon.com Inc.,250000000,23518542,0.89,49.97,0.1,26357549.84,230000000,99.16,0
23,AMZN,Amazon.com Inc.,250000000,23515424,0.85,49.98,0.1,27656050.37,230000000,97.26,0
24,AMZN,Amazon.com Inc.,250000000,23511343,0.83,50.03,0.1,28288169.68,230000000,97.55,0
25,AMZN,Amazon.com Inc.,250000000,23404438,0.85,50.08,0.1,27495053.66,230000000,98.32,0
26,AMZN,Amazon.com Inc.,250000000,23288523,0.85,50.08,0.1,27549852.06,230000000,100.47,0
27,AMZN,Amazon.com Inc.,250000000,23296507,0.84,50.05,0.1,27810800.08,230000000,98.92,0
28,AMZN,Amazon.com Inc.,250000000,23205272,0.82,50.01,0.1,28263291.38,230000000,100.45,0
29,AMZN,Amazon.com Inc.,250000000,23356935,0.82,50.04,0.1,28367658.59,230000000,100.68,0
30,AMZN,Amazon.com Inc.,250000000,23212478,0.81,50.08,0.09,28663783.79,230000000,101.46,0
