DAY,TICKER,COMPANY_NAME,TOTAL_SHARES,SHORTS,SIR,RSI,BF,ADV,PUBLIC,PRICE_PER_SHARE,SS
0,BAC,Bank of America Corporation,8500000000,12000000,0.34,43.0,0.11,35000000.0,7300000000,32.0,0
1,BAC,Bank of America Corporation,8500000000,11991704,0.33,43.08,0.11,36066120.9,7300000000,32.16,0
2,BAC,Bank of America Corporation,8500000000,12086391,0.34,43.55,0.11,35727478.5,7300000000,32.08,0
3,BAC,Bank of America Corporation,8500000000,12058246,0.35,42.89,0.11,34360344.92,7300000000,31.93,0
4,BAC,Bank of America Corporation,8500000000,11997182,0.36,42.39,0.11,33736344.52,7300000000,31.76,0
5,BAC,Bank of America Corporation,8500000000,11983638,0.37,42.31,0.11,32775028.6,7300000000,32.22,0
6,BAC,Bank of America Corporation,8500000000,11914673,0.37,42.37,0.12,32381309.6,7300000000,32.26,0
7,BAC,Bank of America Corporation,8500000000,12025019,0.38,42.98,0.12,31696308.3,7300000000,32.06,0
8,BAC,Bank of America Corporation,8500000000,12037577,0.39,43.28,0.11,30854336.41,7300000000,31.67,0
9,BAC,Bank of America Corporation,8500000000,12047891,0.39,42.74,0.11,30668529.31,7300000000,31.9,0
10,BAC,Bank of America Corporation,8500000000,12020143,0.39,42.06,0.11,30879294.66,7300000000,31.68,0
11,BAC,Bank of America Corporation,8500000000,11996999,0.38,42.77,0.11,31257057.31,7300000000,31.78,0
12,BAC,Bank of America Corporation,8500000000,11946659,0.38,43.46,0.11,31464143.71,7300000000,32.07,0
13,BAC,Bank of America Corporation,8500000000,11935569,0.39,44.07,0.11,30711391.37,7300000000,31.92,0
14,BAC,Bank of America Corporation,8500000000,11931271,0.39,43.94,0.11,30933518.28,7300000000,32.35,0
15,BAC,Bank of America Corporation,8500000000,12023025,0.38,42.83,0.11,31901516.94,7300000000,32.47,0
16,BAC,Bank of America Corporation,8500000000,12028258,0.38,42.04,0.11,31960063.1,7300000000,32.74,0
17,BAC,Bank of America Corporation,8500000000,12049735,0.38,41.84,0.11,31628784.12,7300000000,32.66,0
18,BAC,Bank of America Corporation,8500000000,12104887,0.39,42.29,0.11,31293670.7,7300000000,32.5,0
19,BAC,Bank of America Corporation,8500000000,12163513,0.39,42.3,0.11,31088595.68,7300000000,32.53,0
20,BAC,Bank of America Corporation,8500000000,12181523,0.39,42.38,0.11,31091775.08,7300000000,32.06,0
21,BAC,Bank of America Corporation,8500000000,12155902,0.4,42.5,0.11,30592890.59,7300000000,31.6,0
22,BAC,Bank of America Corporation,8500000000,12270544,0.4,42.66,0.11,30750474.81,7300000000,31.73,0
23,BAC,Bank of America Corporation,8500000000,12268917,0.38,42.76,0.11,32265392.1,7300000000,31.12,0
24,BAC,Bank of America Corporation,8500000000,12266788,0.37,43.34,0.11,33002864.62,7300000000,31.22,0
25,BAC,Bank of America Corporation,8500000000,12211011,0.38,43.83,0.11,32077562.61,7300000000,31.46,0
26,BAC,Bank of America Corporation,8500000000,12150534,0.38,43.78,0.11,32141494.07,7300000000,32.15,0
27,BAC,Bank of America Corporation,8500000000,12154699,0.37,43.52,0.11,32445933.43,7300000000,31.65,0
28,BAC,Bank of America Corporation,8500000000,12107098,0.37,43.11,0.11,32973839.94,7300000000,32.14,0
29,BAC,Bank of America Corporation,8500000000,12186227,0.37,43.44,0.11,33095601.69,7300000000,32.22,0
30,BAC,Bank of America Corporation,8500000000,12110858,0.36,43.79,0.1,33441081.09,7300000000,32.47,0
