DAY,TICKER,COMPANY_NAME,TOTAL_SHARES,SHORTS,SIR,RSI,BF,ADV,PUBLIC,PRICE_PER_SHARE,SS
0,BB,BlackBerry Limited,200000000,9000000,1.8,20.0,0.1,5000000.0,195000000,10.0,0
1,BB,BlackBerry Limited,200000000,9026113,1.79,15.47,0.1,5031939.63,195000000,9.13,0
2,BB,BlackBerry Limited,200000000,9036188,1.78,12.59,0.1,5064194.54,195000000,8.53,0
3,BB,BlackBerry Limited,200000000,9062752,1.78,8.14,0.1,5078936.68,195000000,8.08,0
4,BB,BlackBerry Limited,200000000,9077330,1.78,4.01,0.1,5103760.0,195000000,7.53,0
5,BB,BlackBerry Limited,200000000,9088939,1.77,0.38,0.1,5125692.17,195000000,6.69,0
6,BB,BlackBerry Limited,200000000,9101658,1.76,0.0,0.1,5158146.68,195000000,5.83,0
7,BB,BlackBerry Limited,200000000,9113864,1.75,0.0,0.1,5207355.24,195000000,5.19,0
8,BB,BlackBerry Limited,200000000,9128530,1.74,0.0,0.1,5244629.99,195000000,4.51,0
9,BB,BlackBerry Limited,200000000,9146699,1.73,0.0,0.1,5292796.07,195000000,4.23,0
10,BB,BlackBerry Limited,200000000,9161548,1.72,0.0,0.1,5324131.5,195000000,3.74,0
11,BB,BlackBerry Limited,200000000,9184912,1.71,0.0,0.1,5372333.23,195000000,3.19,0
12,BB,BlackBerry Limited,200000000,9195723,1.71,0.0,0.1,5379892.35,195000000,2.73,0
13,BB,BlackBerry Limited,200000000,9032834,1.36,12.81,0.13,6647800.27,195000000,3.77,1
14,BB,BlackBerry Limited,200000000,8884613,1.11,32.68,0.17,8026920.1,195000000,5.31,1
15,BB,BlackBerry Limited,200000000,8733688,0.85,49.75,0.2,10286868.5,195000000,7.72,1
16,BB,BlackBerry Limited,200000000,8535323,0.67,60.91,0.23,12712991.18,195000000,11.16,1
17,BB,BlackBerry Limited,200000000,8354092,0.54,74.02,0.28,15336391.09,195000000,16.43,1
18,BB,BlackBerry Limited,200000000,8167829,0.41,88.74,0.36,19764333.47,195000000,22.43,1
19,BB,BlackBerry Limited,200000000,7987055,0.32,100.0,0.46,24826527.13,195000000,29.69,1
20,BB,BlackBerry Limited,200000000,8047866,0.41,90.54,0.35,19798114.84,195000000,29.09,0
21,BB,BlackBerry Limited,200000000,8113714,0.55,85.08,0.26,14831617.78,195000000,27.69,0
22,BB,BlackBerry Limited,200000000,8170931,0.71,75.46,0.22,11525949.53,195000000,26.72,0
23,BB,BlackBerry Limited,200000000,8218372,0.99,68.63,0.18,8289324.15,195000000,25.85,0
24,BB,BlackBerry Limited,200000000,8292488,1.41,61.33,0.13,5891588.24,195000000,25.91,0
25,BB,BlackBerry Limited,200000000,8371105,1.8,52.47,0.1,4648432.53,195000000,25.87,0
26,BB,BlackBerry Limited,200000000,8447199,2.27,45.02,0.08,3715514.37,195000000,25.24,0
27,BB,BlackBerry Limited,200000000,8498816,2.99,39.73,0.06,2846970.09,195000000,24.61,0
28,BB,BlackBerry Limited,200000000,8563355,3.94,34.59,0.05,2174051.81,195000000,23.85,0
29,BB,BlackBerry Limited,200000000,8616953,5.15,26.02,0.04,1673828.95,195000000,24.04,0
30,BB,BlackBerry Limited,200000000,8686300,6.53,17.41,0.03,1330446.5,195000000,22.89,0
