DAY,TICKER,COMPANY_NAME,TOTAL_SHARES,SHORTS,SIR,RSI,BF,ADV,PUBLIC,PRICE_PER_SHARE,SS
0,BYND,Beyond Meat Inc.,150000000,9000000,1.8,20.0,0.1,5000000.0,145000000,10.0,0
1,BYND,Beyond Meat Inc.,150000000,9796693,1.95,19.55,0.1,5031939.63,145000000,9.13,0
2,BYND,Beyond Meat Inc.,150000000,10401565,2.05,19.26,0.1,5064194.54,145000000,8.53,0
3,BYND,Beyond Meat Inc.,150000000,11328317,2.23,18.81,0.1,5078936.68,145000000,8.08,0
4,BYND,Beyond Meat Inc.,150000000,12111412,2.37,18.4,0.1,5103760.0,145000000,7.53,0
5,BYND,Beyond Meat Inc.,150000000,12888781,2.51,18.04,0.1,5125692.17,145000000,6.69,0
6,BYND,Beyond Meat Inc.,150000000,13739314,2.66,17.55,0.1,5158146.68,145000000,5.83,0
7,BYND,Beyond Meat Inc.,150000000,14633960,2.81,17.34,0.1,5207355.24,145000000,5.19,0
8,BYND,Beyond Meat Inc.,150000000,15645728,2.98,16.97,0.1,5244629.99,145000000,4.51,0
9,BYND,Beyond Meat Inc.,150000000,16816894,3.18,16.55,0.1,5292796.07,145000000,4.23,0
10,BYND,Beyond Meat Inc.,150000000,17983168,3.38,16.11,0.1,5324131.5,145000000,3.74,0
11,BYND,Beyond Meat Inc.,150000000,19480339,3.63,15.79,0.1,5372333.23,145000000,3.19,0
12,BYND,Beyond Meat Inc.,150000000,20700875,3.85,15.38,0.1,5379892.35,145000000,2.73,0
13,BYND,Beyond Meat Inc.,150000000,22111442,4.09,14.97,0.1,5402545.89,145000000,2.49,0
14,BYND,Beyond Meat Inc.,150000000,21859168,3.35,16.95,0.1,6523331.4,145000000,3.51,1
15,BYND,Beyond Meat Inc.,150000000,21597138,2.58,18.66,0.11,8359950.19,145000000,5.1,1
16,BYND,Beyond Meat Inc.,150000000,21214595,2.05,19.78,0.11,10331615.8,145000000,7.38,1
17,BYND,Beyond Meat Inc.,150000000,20870218,1.67,21.09,0.12,12463605.0,145000000,10.87,1
18,BYND,Beyond Meat Inc.,150000000,20509246,1.28,22.56,0.12,16062112.92,145000000,14.83,1
19,BYND,Beyond Meat Inc.,150000000,20157872,1.0,24.33,0.13,20176065.28,145000000,19.64,1
20,BYND,Beyond Meat Inc.,150000000,19850922,0.82,25.44,0.13,24262564.13,145000000,27.47,1
21,BYND,Beyond Meat Inc.,150000000,19526079,0.64,27.35,0.14,30348999.86,145000000,35.88,1
22,BYND,Beyond Meat Inc.,150000000,19250687,0.52,28.42,0.14,37113179.38,145000000,48.43,1
23,BYND,Beyond Meat Inc.,150000000,19362458,0.73,27.74,0.14,26691351.84,145000000,46.85,0
24,BYND,Beyond Meat Inc.,150000000,19537076,1.03,27.01,0.14,18970720.85,145000000,46.96,0
25,BYND,Beyond Meat Inc.,150000000,19722296,1.32,26.12,0.13,14967800.24,145000000,46.89,0
26,BYND,Beyond Meat Inc.,150000000,19901573,1.66,25.38,0.13,11963834.38,145000000,45.74,0
27,BYND,Beyond Meat Inc.,150000000,20023183,2.18,24.85,0.13,9167150.31,145000000,44.6,0
28,BYND,Beyond Meat Inc.,150000000,20175238,2.88,24.34,0.13,7000375.52,145000000,43.24,0
29,BYND,Beyond Meat Inc.,150000000,20301513,3.77,23.48,0.13,5389674.3,145000000,43.57,0
30,BYND,Beyond Meat Inc.,150000000,20464896,4.78,22.62,0.13,4283994.07,145000000,41.49,0
