DAY,TICKER,COMPANY_NAME,TOTAL_SHARES,SHORTS,SIR,RSI,BF,ADV,PUBLIC,PRICE_PER_SHARE,SS
0,COST,Costco Wholesale Corporation,450000000,6000000,0.71,45.0,0.1,8500000.0,390000000,510.0,0
1,COST,Costco Wholesale Corporation,450000000,5983408,0.68,45.15,0.102,8758915.08,390000000,512.53,0
2,COST,Costco Wholesale Corporation,450000000,6172390,0.71,46.46,0.104,8676673.35,390000000,511.33,0
3,COST,Costco Wholesale Corporation,450000000,6114896,0.73,44.38,0.105,8344655.2,390000000,508.96,0
4,COST,Costco Wholesale Corporation,450000000,5991029,0.73,42.76,0.106,8193112.24,390000000,506.1,0
5,COST,Costco Wholesale Corporation,450000000,5963977,0.75,42.44,0.106,7959649.8,390000000,513.52,0
6,COST,Costco Wholesale Corporation,450000000,5826687,0.74,42.5,0.107,7864032.33,390000000,514.09,0
7,COST,Costco Wholesale Corporation,450000000,6042540,0.78,44.24,0.107,7697674.87,390000000,511.0,0
8,COST,Costco Wholesale Corporation,450000000,6067781,0.81,45.03,0.101,7493195.98,390000000,504.76,0
9,COST,Costco Wholesale Corporation,450000000,6088577,0.82,43.31,0.101,7448071.4,390000000,508.48,0
10,COST,Costco Wholesale Corporation,450000000,6032485,0.8,41.17,0.104,7499257.28,390000000,504.82,0
11,COST,Costco Wholesale Corporation,450000000,5986025,0.79,43.22,0.102,7590999.63,390000000,506.46,0
12,COST,Costco Wholesale Corporation,450000000,5885553,0.77,45.18,0.101,7641292.04,390000000,511.18,0
13,COST,Costco Wholesale Corporation,450000000,5863699,0.79,46.9,0.098,7458480.76,390000000,508.73,0
14,COST,Costco Wholesale Corporation,450000000,5855254,0.78,46.43,0.1,7512425.87,390000000,515.63,0
15,COST,Costco Wholesale Corporation,450000000,6035366,0.78,43.0,0.1,7747511.26,390000000,517.49,0
16,COST,Costco Wholesale Corporation,450000000,6045873,0.78,40.52,0.099,7761729.61,390000000,521.74,0
17,COST,Costco Wholesale Corporation,450000000,6089054,0.79,39.81,0.104,7681276.14,390000000,520.6,0
18,COST,Costco Wholesale Corporation,450000000,6200533,0.82,41.08,0.105,7599891.46,390000000,517.99,0
19,COST,Costco Wholesale Corporation,450000000,6320655,0.84,40.99,0.103,7550087.52,390000000,518.49,0
20,COST,Costco Wholesale Corporation,450000000,6358089,0.84,41.14,0.103,7550859.66,390000000,510.9,0
21,COST,Costco Wholesale Corporation,450000000,6304599,0.85,41.39,0.102,7429702.0,390000000,503.67,0
22,COST,Costco Wholesale Corporation,450000000,6542432,0.88,41.78,0.103,7467972.45,390000000,505.7,0
23,COST,Costco Wholesale Corporation,450000000,6538962,0.83,41.99,0.103,7835880.94,390000000,496.0,0
24,COST,Costco Wholesale Corporation,450000000,6534423,0.82,43.62,0.1,8014981.41,390000000,497.5,0
25,COST,Costco Wholesale Corporation,450000000,6415576,0.82,45.0,0.104,7790265.2,390000000,501.43,0
26,COST,Costco Wholesale Corporation,450000000,6288479,0.81,44.75,0.102,7805791.42,390000000,512.42,0
27,COST,Costco Wholesale Corporation,450000000,6297102,0.8,43.87,0.099,7879726.69,390000000,504.47,0
28,COST,Costco Wholesale Corporation,450000000,6198458,0.77,42.52,0.098,8007932.56,390000000,512.29,0
29,COST,Costco Wholesale Corporation,450000000,6360503,0.79,43.41,0.093,8037503.27,390000000,513.45,0
30,COST,Costco Wholesale Corporation,450000000,6203151,0.76,44.36,0.089,8121405.41,390000000,517.47,0
