DAY,TICKER,COMPANY_NAME,TOTAL_SHARES,SHORTS,SIR,RSI,BF,ADV,PUBLIC,PRICE_PER_SHARE,SS
0,CVX,Chevron Corporation,1900000000,85000000,0.11,39.0,0.07,780000000.0,1820000000,160.0,0
1,CVX,Chevron Corporation,1900000000,85766214,0.11,40.31,0.071,784982582.56,1820000000,166.8,0
2,CVX,Chevron Corporation,1900000000,85008184,0.11,42.73,0.072,790014348.47,1820000000,171.69,0
3,CVX,Chevron Corporation,1900000000,85807108,0.11,44.09,0.073,792314121.32,1820000000,175.34,0
4,CVX,Chevron Corporation,1900000000,85471160,0.11,45.67,0.073,796186560.68,1820000000,180.77,0
5,CVX,Chevron Corporation,1900000000,84854902,0.11,47.59,0.072,799607978.62,1820000000,191.03,0
6,CVX,Chevron Corporation,1900000000,84345219,0.1,48.68,0.072,804670881.35,1820000000,203.85,0
7,CVX,Chevron Corporation,1900000000,83789425,0.1,51.61,0.071,812347417.28,1820000000,215.35,0
8,CVX,Chevron Corporation,1900000000,83461999,0.1,53.49,0.07,818162279.09,1820000000,230.11,0
9,CVX,Chevron Corporation,1900000000,83453948,0.1,55.01,0.068,825676186.24,1820000000,236.39,0
10,CVX,Chevron Corporation,1900000000,83139679,0.1,56.38,0.069,830564513.35,1820000000,250.52,0
11,CVX,Chevron Corporation,1900000000,83597168,0.1,58.57,0.07,838083984.45,1820000000,270.1,0
12,CVX,Chevron Corporation,1900000000,82909151,0.1,60.22,0.069,839263206.83,1820000000,290.45,0
13,CVX,Chevron Corporation,1900000000,68223047,0.07,67.19,0.094,1037056842.3,1820000000,400.16,1
14,CVX,Chevron Corporation,1900000000,57028162,0.05,79.1,0.128,1252199536.27,1820000000,563.64,1
15,CVX,Chevron Corporation,1900000000,47340698,0.03,89.05,0.154,1604751485.78,1820000000,819.78,1
16,CVX,Chevron Corporation,1900000000,36588346,0.02,94.86,0.187,1983226623.99,1820000000,1185.24,1
17,CVX,Chevron Corporation,1900000000,28819549,0.01,100.0,0.236,2392477010.03,1820000000,1745.41,1
18,CVX,Chevron Corporation,1900000000,22393925,0.01,100.0,0.314,3083236021.0,1820000000,2382.55,1
19,CVX,Chevron Corporation,1900000000,17437601,0.0,100.0,0.424,3872938232.53,1820000000,3154.3,1
20,CVX,Chevron Corporation,1900000000,17433273,0.01,88.18,0.32,2932766590.42,1820000000,529.78,0
21,CVX,Chevron Corporation,1900000000,17106525,0.01,79.74,0.249,2254020000.46,1820000000,521.47,0
22,CVX,Chevron Corporation,1900000000,16934975,0.01,69.34,0.182,1632913262.6,1820000000,529.97,0
23,CVX,Chevron Corporation,1900000000,16792553,0.01,63.0,0.124,1154519047.41,1820000000,521.0,0
24,CVX,Chevron Corporation,1900000000,17042064,0.02,57.24,0.101,902075369.26,1820000000,523.78,0
25,CVX,Chevron Corporation,1900000000,17251640,0.02,46.01,0.084,692973985.2,1820000000,524.61,0
26,CVX,Chevron Corporation,1900000000,17201340,0.03,34.06,0.068,494732797.91,1820000000,518.9,0
27,CVX,Chevron Corporation,1900000000,17144514,0.04,24.43,0.047,389856105.47,1820000000,519.12,0
28,CVX,Chevron Corporation,1900000000,17023270,0.06,14.97,0.036,284477261.04,1820000000,528.32,0
29,CVX,Chevron Corporation,1900000000,17338165,0.08,5.08,0.025,213436219.53,1820000000,538.29,0
30,CVX,Chevron Corporation,1900000000,17016984,0.11,0.0,0.019,160019984.59,1820000000,533.66,0
