DAY,TICKER,COMPANY_NAME,TOTAL_SHARES,SHORTS,SIR,RSI,BF,ADV,PUBLIC,PRICE_PER_SHARE,SS
0,FUBO,fuboTV Inc.,140000000,900000,0.18,20.0,0.1,5000000.0,135000000,10.0,0
1,FUBO,fuboTV Inc.,140000000,1696693,0.34,15.47,0.1,5031939.63,135000000,9.13,0
2,FUBO,fuboTV Inc.,140000000,2744274,0.54,12.59,0.1,5064194.54,135000000,8.53,0
3,FUBO,fuboTV Inc.,140000000,5189347,1.02,8.14,0.1,5078936.68,135000000,8.08,0
4,FUBO,fuboTV Inc.,140000000,8776601,1.72,4.01,0.1,5103760.0,135000000,7.53,0
5,FUBO,fuboTV Inc.,140000000,14409846,2.81,0.38,0.1,5125692.17,135000000,6.69,0
6,FUBO,fuboTV Inc.,140000000,12681135,1.96,10.84,0.14,6454484.08,135000000,8.56,1
7,FUBO,fuboTV Inc.,140000000,11196777,1.34,30.5,0.19,8357837.55,135000000,10.79,1
8,FUBO,fuboTV Inc.,140000000,9736030,0.92,44.9,0.25,10601275.91,135000000,13.82,1
9,FUBO,fuboTV Inc.,140000000,8280322,0.61,57.49,0.32,13685526.74,135000000,16.75,1
10,FUBO,fuboTV Inc.,140000000,7194183,0.42,69.34,0.45,17170833.9,135000000,21.21,1
11,FUBO,fuboTV Inc.,140000000,5917120,0.27,85.32,0.67,22141493.86,135000000,27.51,1
12,FUBO,fuboTV Inc.,140000000,5273046,0.2,98.57,0.9,26669932.61,135000000,35.55,1
13,FUBO,fuboTV Inc.,140000000,4602657,0.14,100.0,1.32,32955377.85,135000000,44.04,1
14,FUBO,fuboTV Inc.,140000000,4077529,0.1,100.0,1.93,39792137.88,135000000,55.24,1
15,FUBO,fuboTV Inc.,140000000,3588749,0.07,100.0,2.51,50995460.82,135000000,70.55,1
16,FUBO,fuboTV Inc.,140000000,2953085,0.05,100.0,3.3,63022565.48,135000000,89.8,1
17,FUBO,fuboTV Inc.,140000000,2473711,0.03,100.0,4.51,76027639.6,135000000,115.52,1
18,FUBO,fuboTV Inc.,140000000,2045856,0.02,100.0,6.44,97978436.59,135000000,142.38,1
19,FUBO,fuboTV Inc.,140000000,1695351,0.01,100.0,9.35,123073430.14,135000000,172.55,1
20,FUBO,fuboTV Inc.,140000000,1437195,0.01,100.0,12.96,148000958.08,135000000,215.58,1
21,FUBO,fuboTV Inc.,140000000,1554787,0.01,94.54,10.78,110873871.51,135000000,182.91,0
22,FUBO,fuboTV Inc.,140000000,1664429,0.02,84.92,9.43,86162323.37,135000000,153.19,0
23,FUBO,fuboTV Inc.,140000000,1761067,0.03,78.09,8.42,61966905.75,135000000,127.99,0
24,FUBO,fuboTV Inc.,140000000,1919887,0.04,70.79,6.9,44042612.66,135000000,103.22,0
25,FUBO,fuboTV Inc.,140000000,2101901,0.06,61.93,5.74,34749392.7,135000000,83.57,0
26,FUBO,fuboTV Inc.,140000000,2292965,0.08,54.48,5.08,27775355.93,135000000,69.25,0
27,FUBO,fuboTV Inc.,140000000,2433077,0.11,49.19,4.13,21282546.59,135000000,57.42,0
28,FUBO,fuboTV Inc.,140000000,2617844,0.16,44.05,3.59,16252140.88,135000000,47.88,0
29,FUBO,fuboTV Inc.,140000000,2781693,0.22,35.48,3.05,12512721.03,135000000,38.39,0
30,FUBO,fuboTV Inc.,140000000,3005558,0.3,26.87,2.6,9945762.9,135000000,32.56,0
