DAY,TICKER,COMPANY_NAME,TOTAL_SHARES,SHORTS,SIR,RSI,BF,ADV,PUBLIC,PRICE_PER_SHARE,SS
0,GME,GameStop Corp.,447908690,494679089,10.55,53.13,0.226,46895360.0,408656827,4.31,0
1,GME,GameStop Corp.,447908690,932576088,19.76,48.6,0.23,47194924.11,408656827,3.93,0
2,GME,GameStop Corp.,447908690,1508371958,31.76,45.72,0.23,47497445.23,408656827,3.68,0
3,GME,GameStop Corp.,447908690,2852290580,59.88,41.27,0.23,47635712.76,408656827,3.48,0
4,GME,GameStop Corp.,447908690,4824001112,100.78,37.14,0.23,47868532.55,408656827,3.25,0
5,GME,GameStop Corp.,447908690,7920277341,164.75,33.51,0.23,48074235.92,408656827,2.88,0
6,GME,GameStop Corp.,447908690,6970102434,115.14,43.97,0.32,60537070.88,408656827,3.69,1
7,GME,GameStop Corp.,447908690,6154235130,78.51,63.63,0.42,78388760.15,408656827,4.65,1
8,GME,GameStop Corp.,447908690,5351345141,53.82,78.03,0.56,99430130.05,408656827,5.96,1
9,GME,GameStop Corp.,447908690,4551224372,35.46,90.62,0.73,128357540.64,408656827,7.22,1
10,GME,GameStop Corp.,447908690,3954235230,24.55,100.0,1.02,161046487.46,408656827,9.14,1
11,GME,GameStop Corp.,447908690,3252305955,15.66,100.0,1.52,207666665.11,408656827,11.86,1
12,GME,GameStop Corp.,447908690,2898294890,11.59,100.0,2.04,250139218.16,408656827,15.32,1
13,GME,GameStop Corp.,447908690,2529820450,8.18,100.0,2.99,309090861.62,408656827,18.98,1
14,GME,GameStop Corp.,447908690,2241187106,6.01,100.0,4.36,373213326.21,408656827,23.81,1
15,GME,GameStop Corp.,447908690,1972532493,4.12,100.0,5.68,478290098.66,408656827,30.41,1
16,GME,GameStop Corp.,447908690,1623143662,2.75,100.0,7.46,591093179.26,408656827,38.71,1
17,GME,GameStop Corp.,447908690,1359659055,1.91,100.0,10.2,713068705.84,408656827,49.79,1
18,GME,GameStop Corp.,447908690,1124491585,1.22,100.0,14.56,918946811.23,408656827,61.36,1
19,GME,GameStop Corp.,447908690,931838651,0.81,100.0,21.14,1154314562.57,408656827,74.37,1
20,GME,GameStop Corp.,447908690,789944520,0.57,100.0,29.29,1388111641.9,408656827,92.92,1
21,GME,GameStop Corp.,447908690,854578192,0.82,94.54,24.35,1039894023.8,408656827,78.83,0
22,GME,GameStop Corp.,447908690,914842316,1.13,84.92,21.32,808122634.55,408656827,66.03,0
23,GME,GameStop Corp.,447908690,967959035,1.67,78.09,19.04,581192070.62,408656827,55.17,0
24,GME,GameStop Corp.,447908690,1055253069,2.55,70.79,15.59,413078835.25,408656827,44.49,0
25,GME,GameStop Corp.,447908690,1155295877,3.54,61.93,12.97,325917056.12,408656827,36.02,0
26,GME,GameStop Corp.,447908690,1260313125,4.84,54.48,11.49,260507063.1,408656827,29.85,0
27,GME,GameStop Corp.,447908690,1337325051,6.7,49.19,9.33,199610536.81,408656827,24.75,0
28,GME,GameStop Corp.,447908690,1438880888,9.44,44.05,8.12,152429999.43,408656827,20.63,0
29,GME,GameStop Corp.,447908690,1528939170,13.03,35.48,6.9,117357711.49,408656827,16.55,0
30,GME,GameStop Corp.,447908690,1651985467,17.71,26.87,5.87,93282026.35,408656827,14.03,0
