DAY,TICKER,COMPANY_NAME,TOTAL_SHARES,SHORTS,SIR,RSI,BF,ADV,PUBLIC,PRICE_PER_SHARE,SS
0,GOOGL,Alphabet Inc.,670000000,8500000,0.39,48.0,0.11,22000000.0,580000000,2700.0,0
1,GOOGL,Alphabet Inc.,670000000,8476495,0.37,48.15,0.112,22670133.14,580000000,2713.41,0
2,GOOGL,Alphabet Inc.,670000000,8744219,0.39,49.46,0.115,22457272.2,580000000,2707.06,0
3,GOOGL,Alphabet Inc.,670000000,8662770,0.4,47.38,0.116,21597931.1,580000000,2694.51,0
4,GOOGL,Alphabet Inc.,670000000,8487292,0.4,45.76,0.117,21205702.27,580000000,2679.36,0
5,GOOGL,Alphabet Inc.,670000000,8448967,0.41,45.44,0.117,20601446.55,580000000,2718.63,0
6,GOOGL,Alphabet Inc.,670000000,8254473,0.41,45.5,0.118,20353966.03,580000000,2721.65,0
7,GOOGL,Alphabet Inc.,670000000,8560264,0.43,47.24,0.118,19923393.79,580000000,2705.27,0
8,GOOGL,Alphabet Inc.,670000000,8596023,0.44,48.03,0.111,19394154.31,580000000,2672.24,0
9,GOOGL,Alphabet Inc.,670000000,8625485,0.45,46.31,0.111,19277361.28,580000000,2691.98,0
10,GOOGL,Alphabet Inc.,670000000,8546020,0.44,44.17,0.114,19409842.36,580000000,2672.6,0
11,GOOGL,Alphabet Inc.,670000000,8480202,0.43,46.22,0.112,19647293.17,580000000,2681.26,0
12,GOOGL,Alphabet Inc.,670000000,8337867,0.42,48.18,0.111,19777461.76,580000000,2706.23,0
13,GOOGL,Alphabet Inc.,670000000,8306907,0.43,49.9,0.107,19304303.15,580000000,2693.26,0
14,GOOGL,Alphabet Inc.,670000000,8294943,0.43,49.43,0.111,19443925.78,580000000,2729.79,0
15,GOOGL,Alphabet Inc.,670000000,8550102,0.43,46.0,0.11,20052382.08,580000000,2739.66,0
16,GOOGL,Alphabet Inc.,670000000,8564987,0.43,43.52,0.109,20089182.52,580000000,2762.17,0
17,GOOGL,Alphabet Inc.,670000000,8626160,0.43,42.81,0.114,19880950.02,580000000,2756.11,0
18,GOOGL,Alphabet Inc.,670000000,8784088,0.45,44.08,0.115,19670307.3,580000000,2742.28,0
19,GOOGL,Alphabet Inc.,670000000,8954262,0.46,43.99,0.113,19541403.0,580000000,2744.94,0
20,GOOGL,Alphabet Inc.,670000000,9007293,0.46,44.14,0.114,19543401.48,580000000,2704.77,0
21,GOOGL,Alphabet Inc.,670000000,8931515,0.46,44.39,0.113,19229816.94,580000000,2666.48,0
22,GOOGL,Alphabet Inc.,670000000,9268445,0.48,44.78,0.113,19328869.88,580000000,2677.26,0
23,GOOGL,Alphabet Inc.,670000000,9263530,0.46,44.99,0.113,20281103.61,580000000,2625.89,0
24,GOOGL,Alphabet Inc.,670000000,9257099,0.45,46.62,0.109,20744657.76,580000000,2633.81,0
25,GOOGL,Alphabet Inc.,670000000,9088733,0.45,48.0,0.114,20163039.35,580000000,2654.64,0
26,GOOGL,Alphabet Inc.,670000000,8908679,0.44,47.75,0.112,20203224.84,580000000,2712.79,0
27,GOOGL,Alphabet Inc.,670000000,8920895,0.44,46.87,0.109,20394586.73,580000000,2670.72,0
28,GOOGL,Alphabet Inc.,670000000,8781149,0.42,45.52,0.108,20726413.68,580000000,2712.12,0
29,GOOGL,Alphabet Inc.,670000000,9010713,0.43,46.41,0.102,20802949.63,580000000,2718.29,0
30,GOOGL,Alphabet Inc.,670000000,8787797,0.42,47.36,0.098,21020108.11,580000000,2739.54,0
