DAY,TICKER,COMPANY_NAME,TOTAL_SHARES,SHORTS,SIR,RSI,BF,ADV,PUBLIC,PRICE_PER_SHARE,SS
0,JPM,JPMorgan Chase & Co.,3000000000,4500000,0.17,42.0,0.1,26000000.0,2550000000,140.0,0
1,JPM,JPMorgan Chase & Co.,3000000000,4496889,0.17,42.01,0.1,26791975.53,2550000000,140.7,0
2,JPM,JPMorgan Chase & Co.,3000000000,4532397,0.17,42.06,0.1,26540412.6,2550000000,140.37,0
3,JPM,JPMorgan Chase & Co.,3000000000,4521842,0.18,41.99,0.1,25524827.66,2550000000,139.72,0
4,JPM,JPMorgan Chase & Co.,3000000000,4498943,0.18,41.94,0.1,25061284.5,2550000000,138.93,0
5,JPM,JPMorgan Chase & Co.,3000000000,4493864,0.18,41.93,0.1,24347164.1,2550000000,140.97,0
6,JPM,JPMorgan Chase & Co.,3000000000,4468002,0.19,41.94,0.1,24054687.13,2550000000,141.12,0
7,JPM,JPMorgan Chase & Co.,3000000000,4509382,0.19,42.0,0.1,23545829.02,2550000000,140.27,0
8,JPM,JPMorgan Chase & Co.,3000000000,4514091,0.2,42.03,0.1,22920364.19,2550000000,138.56,0
9,JPM,JPMorgan Chase & Co.,3000000000,4517959,0.2,41.97,0.1,22782336.06,2550000000,139.58,0
10,JPM,JPMorgan Chase & Co.,3000000000,4507554,0.2,41.91,0.1,22938904.61,2550000000,138.58,0
11,JPM,JPMorgan Chase & Co.,3000000000,4498875,0.19,41.98,0.1,23219528.29,2550000000,139.03,0
12,JPM,JPMorgan Chase & Co.,3000000000,4479997,0.19,42.05,0.1,23373363.9,2550000000,140.32,0
13,JPM,JPMorgan Chase & Co.,3000000000,4475838,0.2,42.11,0.1,22814176.45,2550000000,139.65,0
14,JPM,JPMorgan Chase & Co.,3000000000,4474227,0.19,42.09,0.1,22979185.01,2550000000,141.54,0
15,JPM,JPMorgan Chase & Co.,3000000000,4508634,0.19,41.98,0.1,23698269.73,2550000000,142.06,0
16,JPM,JPMorgan Chase & Co.,3000000000,4510597,0.19,41.9,0.1,23741761.16,2550000000,143.22,0
17,JPM,JPMorgan Chase & Co.,3000000000,4518651,0.19,41.88,0.1,23495668.21,2550000000,142.91,0
18,JPM,JPMorgan Chase & Co.,3000000000,4539333,0.2,41.93,0.1,23246726.81,2550000000,142.19,0
19,JPM,JPMorgan Chase & Co.,3000000000,4561318,0.2,41.93,0.1,23094385.36,2550000000,142.33,0
20,JPM,JPMorgan Chase & Co.,3000000000,4568071,0.2,41.94,0.1,23096747.2,2550000000,140.25,0
21,JPM,JPMorgan Chase & Co.,3000000000,4558463,0.2,41.95,0.1,22726147.3,2550000000,138.26,0
22,JPM,JPMorgan Chase & Co.,3000000000,4601454,0.2,41.97,0.1,22843209.86,2550000000,138.82,0
23,JPM,JPMorgan Chase & Co.,3000000000,4600844,0.19,41.98,0.1,23968576.99,2550000000,136.16,0
24,JPM,JPMorgan Chase & Co.,3000000000,4600045,0.19,42.03,0.1,24516413.72,2550000000,136.57,0
25,JPM,JPMorgan Chase & Co.,3000000000,4579129,0.19,42.08,0.1,23829046.51,2550000000,137.65,0
26,JPM,JPMorgan Chase & Co.,3000000000,4556450,0.19,42.08,0.1,23876538.45,2550000000,140.66,0
27,JPM,JPMorgan Chase & Co.,3000000000,4558012,0.19,42.05,0.1,24102693.41,2550000000,138.48,0
28,JPM,JPMorgan Chase & Co.,3000000000,4540162,0.19,42.01,0.1,24494852.53,2550000000,140.63,0
29,JPM,JPMorgan Chase & Co.,3000000000,4569835,0.19,42.04,0.1,24585304.11,2550000000,140.95,0
30,JPM,JPMorgan Chase & Co.,3000000000,4541572,0.18,42.08,0.1,24841945.95,2550000000,142.05,0
