DAY,TICKER,COMPANY_NAME,TOTAL_SHARES,SHORTS,SIR,RSI,BF,ADV,PUBLIC,PRICE_PER_SHARE,SS
0,KO,The Coca-Cola Company,4200000000,3500000,0.25,33.0,0.07,14000000.0,3850000000,60.0,0
1,KO,The Coca-Cola Company,4200000000,6598250,0.47,28.47,0.07,14089430.97,3850000000,54.75,0
2,KO,The Coca-Cola Company,4200000000,10672175,0.75,25.59,0.07,14179744.72,3850000000,51.16,0
3,KO,The Coca-Cola Company,4200000000,20180794,1.42,21.14,0.07,14221022.69,3850000000,48.5,0
4,KO,The Coca-Cola Company,4200000000,34131226,2.39,17.01,0.07,14290528.01,3850000000,45.18,0
5,KO,The Coca-Cola Company,4200000000,56038291,3.9,13.38,0.07,14351938.08,3850000000,40.16,0
6,KO,The Coca-Cola Company,4200000000,49315524,2.73,23.84,0.1,18072555.41,3850000000,51.34,1
7,KO,The Coca-Cola Company,4200000000,43543023,1.86,43.5,0.13,23401945.14,3850000000,64.73,1
8,KO,The Coca-Cola Company,4200000000,37862340,1.28,57.9,0.17,29683572.55,3850000000,82.91,1
9,KO,The Coca-Cola Company,4200000000,32201251,0.84,70.49,0.23,38319474.87,3850000000,100.51,1
10,KO,The Coca-Cola Company,4200000000,27977377,0.58,82.34,0.32,48078334.92,3850000000,127.27,1
11,KO,The Coca-Cola Company,4200000000,23011021,0.37,98.32,0.47,61996182.81,3850000000,165.06,1
12,KO,The Coca-Cola Company,4200000000,20506289,0.27,100.0,0.63,74675811.3,3850000000,213.29,1
13,KO,The Coca-Cola Company,4200000000,17899224,0.19,100.0,0.93,92275057.97,3850000000,264.24,1
14,KO,The Coca-Cola Company,4200000000,15857058,0.14,100.0,1.35,111417986.06,3850000000,331.42,1
15,KO,The Coca-Cola Company,4200000000,13956247,0.1,100.0,1.76,142787290.28,3850000000,423.3,1
16,KO,The Coca-Cola Company,4200000000,11484219,0.07,100.0,2.31,176463183.34,3850000000,538.82,1
17,KO,The Coca-Cola Company,4200000000,9619988,0.05,100.0,3.16,212877390.89,3850000000,693.09,1
18,KO,The Coca-Cola Company,4200000000,7956109,0.03,100.0,4.51,274339622.45,3850000000,854.25,1
19,KO,The Coca-Cola Company,4200000000,6593032,0.02,100.0,6.55,344605604.39,3850000000,1035.32,1
20,KO,The Coca-Cola Company,4200000000,5589090,0.01,100.0,9.07,414402682.62,3850000000,1293.5,1
21,KO,The Coca-Cola Company,4200000000,6046392,0.02,94.54,7.54,310446840.23,3850000000,1097.45,0
22,KO,The Coca-Cola Company,4200000000,6472778,0.03,84.92,6.6,241254505.43,3850000000,919.15,0
23,KO,The Coca-Cola Company,4200000000,6848595,0.04,78.09,5.9,173507336.09,3850000000,767.96,0
24,KO,The Coca-Cola Company,4200000000,7466226,0.06,70.79,4.83,123319315.46,3850000000,619.3,0
25,KO,The Coca-Cola Company,4200000000,8174058,0.08,61.93,4.02,97298299.57,3850000000,501.41,0
26,KO,The Coca-Cola Company,4200000000,8917086,0.11,54.48,3.56,77770996.61,3850000000,415.49,0
27,KO,The Coca-Cola Company,4200000000,9461968,0.16,49.19,2.89,59591130.45,3850000000,344.49,0
28,KO,The Coca-Cola Company,4200000000,10180505,0.22,44.05,2.51,45505994.45,3850000000,287.25,0
29,KO,The Coca-Cola Company,4200000000,10817694,0.31,35.48,2.14,35035618.89,3850000000,230.34,0
30,KO,The Coca-Cola Company,4200000000,11688283,0.42,26.87,1.82,27848136.12,3850000000,195.36,0
