DAY,TICKER,COMPANY_NAME,TOTAL_SHARES,SHORTS,SIR,RSI,BF,ADV,PUBLIC,PRICE_PER_SHARE,SS
0,MCD,McDonald's Corporation,760000000,5500000,0.61,36.0,0.06,9000000.0,705000000,270.0,0
1,MCD,McDonald's Corporation,760000000,5515958,0.61,35.55,0.06,9057491.34,705000000,246.39,0
2,MCD,McDonald's Corporation,760000000,5522115,0.61,35.26,0.06,9115550.17,705000000,230.22,0
3,MCD,McDonald's Corporation,760000000,5538349,0.61,34.81,0.06,9142086.02,705000000,218.24,0
4,MCD,McDonald's Corporation,760000000,5547257,0.6,34.4,0.06,9186768.01,705000000,203.32,0
5,MCD,McDonald's Corporation,760000000,5554352,0.6,34.04,0.06,9226245.91,705000000,180.72,0
6,MCD,McDonald's Corporation,760000000,5562124,0.6,33.55,0.06,9284664.02,705000000,157.49,0
7,MCD,McDonald's Corporation,760000000,5569583,0.59,33.34,0.06,9373239.43,705000000,140.05,0
8,MCD,McDonald's Corporation,760000000,5578546,0.59,32.97,0.06,9440333.99,705000000,121.73,0
9,MCD,McDonald's Corporation,760000000,5589649,0.59,32.55,0.06,9527032.92,705000000,114.15,0
10,MCD,McDonald's Corporation,760000000,5598724,0.58,32.11,0.06,9583436.69,705000000,100.88,0
11,MCD,McDonald's Corporation,760000000,5613002,0.58,31.79,0.06,9670199.82,705000000,86.06,0
12,MCD,McDonald's Corporation,760000000,5619608,0.58,31.38,0.06,9683806.23,705000000,73.82,0
13,MCD,McDonald's Corporation,760000000,5628278,0.58,30.97,0.06,9724582.61,705000000,67.26,0
14,MCD,McDonald's Corporation,760000000,5635492,0.58,30.76,0.06,9740831.96,705000000,60.25,0
15,MCD,McDonald's Corporation,760000000,5643368,0.57,30.48,0.06,9822062.24,705000000,52.58,0
16,MCD,McDonald's Corporation,760000000,5515191,0.45,31.59,0.06,12138561.96,705000000,76.02,1
17,MCD,McDonald's Corporation,760000000,5398087,0.37,32.9,0.06,14643425.05,705000000,111.95,1
18,MCD,McDonald's Corporation,760000000,5277731,0.28,34.38,0.07,18871293.39,705000000,152.82,1
19,MCD,McDonald's Corporation,760000000,5160922,0.22,36.15,0.07,23704754.74,705000000,202.32,1
20,MCD,McDonald's Corporation,760000000,5056531,0.18,37.25,0.07,28505961.1,705000000,283.0,1
21,MCD,McDonald's Corporation,760000000,5097903,0.24,36.71,0.07,21355039.25,705000000,269.39,0
22,MCD,McDonald's Corporation,760000000,5133853,0.31,35.75,0.07,16595432.02,705000000,259.95,0
23,MCD,McDonald's Corporation,760000000,5163661,0.43,35.06,0.07,11935234.93,705000000,251.47,0
24,MCD,McDonald's Corporation,760000000,5210229,0.61,34.33,0.07,8482897.81,705000000,252.04,0
25,MCD,McDonald's Corporation,760000000,5259624,0.79,33.45,0.07,6692962.33,705000000,251.65,0
26,MCD,McDonald's Corporation,760000000,5307435,0.99,32.7,0.07,5349716.83,705000000,245.52,0
27,MCD,McDonald's Corporation,760000000,5339866,1.3,32.17,0.07,4099158.9,705000000,239.39,0
28,MCD,McDonald's Corporation,760000000,5380417,1.72,31.66,0.06,3130269.57,705000000,232.06,0
29,MCD,McDonald's Corporation,760000000,5414092,2.25,30.8,0.06,2410032.64,705000000,233.86,0
30,MCD,McDonald's Corporation,760000000,5457664,2.85,29.94,0.06,1915619.56,705000000,222.69,0
