DAY,TICKER,COMPANY_NAME,TOTAL_SHARES,SHORTS,SIR,RSI,BF,ADV,PUBLIC,PRICE_PER_SHARE,SS
0,MSFT,Microsoft Corporation,7500000000,9000000,0.26,35.0,0.07,35000000.0,6600000000,320.0,0
1,MSFT,Microsoft Corporation,7500000000,8937781,0.25,35.08,0.07,36066120.9,6600000000,321.59,0
2,MSFT,Microsoft Corporation,7500000000,9643514,0.27,35.55,0.08,35727478.5,6600000000,320.84,0
3,MSFT,Microsoft Corporation,7500000000,9418950,0.27,34.89,0.08,34360344.92,6600000000,319.35,0
4,MSFT,Microsoft Corporation,7500000000,8941960,0.27,34.39,0.08,33736344.52,6600000000,317.55,0
5,MSFT,Microsoft Corporation,7500000000,8841016,0.27,34.31,0.08,32775028.6,6600000000,322.21,0
6,MSFT,Microsoft Corporation,7500000000,8332218,0.26,34.37,0.08,32381309.6,6600000000,322.57,0
7,MSFT,Microsoft Corporation,7500000000,9103898,0.29,34.98,0.08,31696308.3,6600000000,320.62,0
8,MSFT,Microsoft Corporation,7500000000,9198971,0.3,35.28,0.07,30854336.41,6600000000,316.71,0
9,MSFT,Microsoft Corporation,7500000000,9277792,0.3,34.74,0.07,30668529.31,6600000000,319.05,0
10,MSFT,Microsoft Corporation,7500000000,9064106,0.29,34.06,0.07,30879294.66,6600000000,316.75,0
11,MSFT,Microsoft Corporation,7500000000,8889585,0.28,34.77,0.07,31257057.31,6600000000,317.78,0
12,MSFT,Microsoft Corporation,7500000000,8516570,0.27,35.46,0.07,31464143.71,6600000000,320.74,0
13,MSFT,Microsoft Corporation,7500000000,8437511,0.27,36.07,0.07,30711391.37,6600000000,319.2,0
14,MSFT,Microsoft Corporation,7500000000,8407132,0.27,35.94,0.07,30933518.28,6600000000,323.53,0
15,MSFT,Microsoft Corporation,7500000000,9053656,0.28,34.83,0.07,31901516.94,6600000000,324.7,0
16,MSFT,Microsoft Corporation,7500000000,9093061,0.28,34.04,0.07,31960063.1,6600000000,327.37,0
17,MSFT,Microsoft Corporation,7500000000,9255423,0.29,33.84,0.07,31628784.12,6600000000,326.65,0
18,MSFT,Microsoft Corporation,7500000000,9679045,0.31,34.29,0.08,31293670.7,6600000000,325.01,0
19,MSFT,Microsoft Corporation,7500000000,10147822,0.33,34.3,0.07,31088595.68,6600000000,325.33,0
20,MSFT,Microsoft Corporation,7500000000,10298071,0.33,34.38,0.07,31091775.08,6600000000,320.56,0
21,MSFT,Microsoft Corporation,7500000000,10081480,0.33,34.5,0.07,30592890.59,6600000000,316.03,0
22,MSFT,Microsoft Corporation,7500000000,11032257,0.36,34.66,0.07,30750474.81,6600000000,317.3,0
23,MSFT,Microsoft Corporation,7500000000,11017631,0.34,34.76,0.07,32265392.1,6600000000,311.22,0
24,MSFT,Microsoft Corporation,7500000000,10998509,0.33,35.34,0.07,33002864.62,6600000000,312.15,0
25,MSFT,Microsoft Corporation,7500000000,10498414,0.33,35.83,0.07,32077562.61,6600000000,314.62,0
26,MSFT,Microsoft Corporation,7500000000,9978461,0.31,35.78,0.07,32141494.07,6600000000,321.52,0
27,MSFT,Microsoft Corporation,7500000000,10012669,0.31,35.52,0.07,32445933.43,6600000000,316.53,0
28,MSFT,Microsoft Corporation,7500000000,9620546,0.29,35.11,0.07,32973839.94,6600000000,321.44,0
29,MSFT,Microsoft Corporation,7500000000,10249317,0.31,35.44,0.06,33095601.69,6600000000,322.17,0
30,MSFT,Microsoft Corporation,7500000000,9615422,0.29,35.79,0.06,33441081.09,6600000000,324.69,0
