DAY,TICKER,COMPANY_NAME,TOTAL_SHARES,SHORTS,SIR,RSI,BF,ADV,PUBLIC,PRICE_PER_SHARE,SS
0,NFLX,"Netflix, Inc.",440000000,2000000,0.17,48.0,0.14,12000000.0,355000000,520.0,0
1,NFLX,"Netflix, Inc.",440000000,2005803,0.17,47.55,0.14,12076655.12,355000000,474.52,0
2,NFLX,"Netflix, Inc.",440000000,2008042,0.17,47.26,0.14,12154066.9,355000000,443.4,0
3,NFLX,"Netflix, Inc.",440000000,2013945,0.17,46.81,0.14,12189448.02,355000000,420.31,0
4,NFLX,"Netflix, Inc.",440000000,2017184,0.16,46.4,0.14,12249024.01,355000000,391.59,0
5,NFLX,"Netflix, Inc.",440000000,2019764,0.16,46.04,0.14,12301661.21,355000000,348.05,0
6,NFLX,"Netflix, Inc.",440000000,2022591,0.16,45.55,0.14,12379552.02,355000000,303.32,0
7,NFLX,"Netflix, Inc.",440000000,2025303,0.16,45.34,0.14,12497652.57,355000000,269.73,0
8,NFLX,"Netflix, Inc.",440000000,2028562,0.16,44.97,0.14,12587111.99,355000000,234.43,0
9,NFLX,"Netflix, Inc.",440000000,2032600,0.16,44.55,0.14,12702710.56,355000000,219.85,0
10,NFLX,"Netflix, Inc.",440000000,2035900,0.16,44.11,0.14,12777915.59,355000000,194.29,0
11,NFLX,"Netflix, Inc.",440000000,2041092,0.16,43.79,0.14,12893599.76,355000000,165.74,0
12,NFLX,"Netflix, Inc.",440000000,2043494,0.16,43.38,0.14,12911741.64,355000000,142.17,0
13,NFLX,"Netflix, Inc.",440000000,2046646,0.16,42.97,0.14,12966110.15,355000000,129.54,0
14,NFLX,"Netflix, Inc.",440000000,2049270,0.16,42.76,0.14,12987775.94,355000000,116.03,0
15,NFLX,"Netflix, Inc.",440000000,2052134,0.16,42.48,0.14,13096082.99,355000000,101.27,0
16,NFLX,"Netflix, Inc.",440000000,2005524,0.12,43.59,0.14,16184749.28,355000000,146.42,1
17,NFLX,"Netflix, Inc.",440000000,1962941,0.1,44.9,0.15,19524566.74,355000000,215.62,1
18,NFLX,"Netflix, Inc.",440000000,1919175,0.08,46.38,0.16,25161724.52,355000000,294.32,1
19,NFLX,"Netflix, Inc.",440000000,1876699,0.06,48.15,0.16,31606339.65,355000000,389.66,1
20,NFLX,"Netflix, Inc.",440000000,1838738,0.05,49.25,0.17,38007948.14,355000000,545.04,1
21,NFLX,"Netflix, Inc.",440000000,1853783,0.07,48.71,0.17,28473385.66,355000000,518.82,0
22,NFLX,"Netflix, Inc.",440000000,1866856,0.08,47.75,0.16,22127242.69,355000000,500.64,0
23,NFLX,"Netflix, Inc.",440000000,1877695,0.12,47.06,0.16,15913646.58,355000000,484.31,0
24,NFLX,"Netflix, Inc.",440000000,1894629,0.17,46.33,0.16,11310530.42,355000000,485.42,0
25,NFLX,"Netflix, Inc.",440000000,1912591,0.21,45.45,0.16,8923949.77,355000000,484.66,0
26,NFLX,"Netflix, Inc.",440000000,1929976,0.27,44.7,0.16,7132955.77,355000000,472.85,0
27,NFLX,"Netflix, Inc.",440000000,1941769,0.36,44.17,0.15,5465545.21,355000000,461.05,0
28,NFLX,"Netflix, Inc.",440000000,1956515,0.47,43.66,0.15,4173692.76,355000000,446.94,0
29,NFLX,"Netflix, Inc.",440000000,1968761,0.61,42.8,0.15,3213376.85,355000000,450.4,0
30,NFLX,"Netflix, Inc.",440000000,1984605,0.78,41.94,0.15,2554159.42,355000000,428.88,0
