DAY,TICKER,COMPANY_NAME,TOTAL_SHARES,SHORTS,SIR,RSI,BF,ADV,PUBLIC,PRICE_PER_SHARE,SS
0,NVDA,NVIDIA Corporation,2700000000,10000000,0.4,45.0,0.09,25000000.0,2300000000,500.0,0
1,NVDA,NVIDIA Corporation,2700000000,9972347,0.39,45.15,0.092,25761514.93,2300000000,502.48,0
2,NVDA,NVIDIA Corporation,2700000000,10287316,0.4,46.46,0.094,25519627.5,2300000000,501.31,0
3,NVDA,NVIDIA Corporation,2700000000,10191494,0.42,44.38,0.095,24543103.52,2300000000,498.98,0
4,NVDA,NVIDIA Corporation,2700000000,9985049,0.41,42.76,0.095,24097388.94,2300000000,496.18,0
5,NVDA,NVIDIA Corporation,2700000000,9939961,0.42,42.44,0.096,23410734.72,2300000000,503.45,0
6,NVDA,NVIDIA Corporation,2700000000,9711144,0.42,42.5,0.097,23129506.86,2300000000,504.01,0
7,NVDA,NVIDIA Corporation,2700000000,10070899,0.44,44.24,0.097,22640220.21,2300000000,500.98,0
8,NVDA,NVIDIA Corporation,2700000000,10112968,0.46,45.03,0.091,22038811.72,2300000000,494.86,0
9,NVDA,NVIDIA Corporation,2700000000,10147629,0.46,43.31,0.091,21906092.37,2300000000,498.51,0
10,NVDA,NVIDIA Corporation,2700000000,10054141,0.46,41.17,0.094,22056639.05,2300000000,494.93,0
11,NVDA,NVIDIA Corporation,2700000000,9976708,0.45,43.22,0.092,22326469.51,2300000000,496.53,0
12,NVDA,NVIDIA Corporation,2700000000,9809255,0.44,45.18,0.091,22474388.37,2300000000,501.15,0
13,NVDA,NVIDIA Corporation,2700000000,9772832,0.45,46.9,0.088,21936708.12,2300000000,498.75,0
14,NVDA,NVIDIA Corporation,2700000000,9758757,0.44,46.43,0.09,22095370.2,2300000000,505.52,0
15,NVDA,NVIDIA Corporation,2700000000,10058943,0.44,43.0,0.09,22786797.82,2300000000,507.34,0
16,NVDA,NVIDIA Corporation,2700000000,10076455,0.44,40.52,0.09,22828616.5,2300000000,511.51,0
17,NVDA,NVIDIA Corporation,2700000000,10148424,0.45,39.81,0.093,22591988.66,2300000000,510.39,0
18,NVDA,NVIDIA Corporation,2700000000,10334222,0.46,41.08,0.094,22352621.93,2300000000,507.83,0
19,NVDA,NVIDIA Corporation,2700000000,10534426,0.47,40.99,0.092,22206139.77,2300000000,508.32,0
20,NVDA,NVIDIA Corporation,2700000000,10596815,0.48,41.14,0.093,22208410.77,2300000000,500.88,0
21,NVDA,NVIDIA Corporation,2700000000,10507665,0.48,41.39,0.092,21852064.71,2300000000,493.79,0
22,NVDA,NVIDIA Corporation,2700000000,10904053,0.5,41.78,0.093,21964624.86,2300000000,495.79,0
23,NVDA,NVIDIA Corporation,2700000000,10898271,0.47,41.99,0.093,23046708.64,2300000000,486.28,0
24,NVDA,NVIDIA Corporation,2700000000,10890705,0.46,43.62,0.09,23573474.73,2300000000,487.74,0
25,NVDA,NVIDIA Corporation,2700000000,10692627,0.47,45.0,0.093,22912544.72,2300000000,491.6,0
26,NVDA,NVIDIA Corporation,2700000000,10480799,0.46,44.75,0.092,22958210.05,2300000000,502.37,0
27,NVDA,NVIDIA Corporation,2700000000,10495171,0.45,43.87,0.089,23175666.74,2300000000,494.58,0
28,NVDA,NVIDIA Corporation,2700000000,10330763,0.44,42.52,0.088,23552742.82,2300000000,502.24,0
29,NVDA,NVIDIA Corporation,2700000000,10600839,0.45,43.41,0.084,23639715.49,2300000000,503.39,0
30,NVDA,NVIDIA Corporation,2700000000,10338584,0.43,44.36,0.08,23886486.49,2300000000,507.32,0
