DAY,TICKER,COMPANY_NAME,TOTAL_SHARES,SHORTS,SIR,RSI,BF,ADV,PUBLIC,PRICE_PER_SHARE,SS
0,PFE,Pfizer Inc.,6000000000,10000000,0.36,38.0,0.08,28000000.0,5600000000,45.0,0
1,PFE,Pfizer Inc.,6000000000,10029014,0.36,37.55,0.08,28178861.94,5600000000,41.06,0
2,PFE,Pfizer Inc.,6000000000,10040208,0.35,37.26,0.08,28359489.43,5600000000,38.37,0
3,PFE,Pfizer Inc.,6000000000,10069725,0.35,36.81,0.08,28442045.38,5600000000,36.37,0
4,PFE,Pfizer Inc.,6000000000,10085922,0.35,36.4,0.08,28581056.02,5600000000,33.89,0
5,PFE,Pfizer Inc.,6000000000,10098822,0.35,36.04,0.08,28703876.16,5600000000,30.12,0
6,PFE,Pfizer Inc.,6000000000,10112953,0.35,35.55,0.08,28885621.38,5600000000,26.25,0
7,PFE,Pfizer Inc.,6000000000,10126515,0.35,35.34,0.08,29161189.34,5600000000,23.34,0
8,PFE,Pfizer Inc.,6000000000,10142811,0.35,34.97,0.08,29369927.97,5600000000,20.29,0
9,PFE,Pfizer Inc.,6000000000,10162999,0.34,34.55,0.08,29639657.97,5600000000,19.03,0
10,PFE,Pfizer Inc.,6000000000,10179498,0.34,34.11,0.08,29815136.38,5600000000,16.81,0
11,PFE,Pfizer Inc.,6000000000,10205458,0.34,33.79,0.08,30085066.11,5600000000,14.34,0
12,PFE,Pfizer Inc.,6000000000,10217470,0.34,33.38,0.08,30127397.17,5600000000,12.3,0
13,PFE,Pfizer Inc.,6000000000,10233232,0.34,32.97,0.08,30254257.01,5600000000,11.21,0
14,PFE,Pfizer Inc.,6000000000,10246350,0.34,32.76,0.08,30304810.53,5600000000,10.04,0
15,PFE,Pfizer Inc.,6000000000,10260668,0.34,32.48,0.08,30557526.98,5600000000,8.76,0
16,PFE,Pfizer Inc.,6000000000,10027621,0.27,33.59,0.08,37764414.99,5600000000,12.67,1
17,PFE,Pfizer Inc.,6000000000,9814705,0.22,34.9,0.09,45557322.39,5600000000,18.66,1
18,PFE,Pfizer Inc.,6000000000,9595875,0.16,36.38,0.09,58710690.56,5600000000,25.47,1
19,PFE,Pfizer Inc.,6000000000,9383495,0.13,38.15,0.09,73748125.85,5600000000,33.72,1
20,PFE,Pfizer Inc.,6000000000,9193692,0.1,39.25,0.1,88685212.32,5600000000,47.17,1
21,PFE,Pfizer Inc.,6000000000,9268915,0.14,38.71,0.1,66437899.88,5600000000,44.9,0
22,PFE,Pfizer Inc.,6000000000,9334279,0.18,37.75,0.09,51630232.95,5600000000,43.32,0
23,PFE,Pfizer Inc.,6000000000,9388475,0.25,37.06,0.09,37131842.01,5600000000,41.91,0
24,PFE,Pfizer Inc.,6000000000,9473143,0.36,36.33,0.09,26391237.64,5600000000,42.01,0
25,PFE,Pfizer Inc.,6000000000,9562953,0.46,35.45,0.09,20822549.46,5600000000,41.94,0
26,PFE,Pfizer Inc.,6000000000,9649881,0.58,34.7,0.09,16643563.46,5600000000,40.92,0
27,PFE,Pfizer Inc.,6000000000,9708847,0.76,34.17,0.09,12752938.82,5600000000,39.9,0
28,PFE,Pfizer Inc.,6000000000,9782576,1.0,33.66,0.09,9738616.45,5600000000,38.68,0
29,PFE,Pfizer Inc.,6000000000,9843804,1.31,32.8,0.08,7497879.31,5600000000,38.98,0
30,PFE,Pfizer Inc.,6000000000,9923025,1.67,31.94,0.08,5959705.3,5600000000,37.11,0
