DAY,TICKER,COMPANY_NAME,TOTAL_SHARES,SHORTS,SIR,RSI,BF,ADV,PUBLIC,PRICE_PER_SHARE,SS
0,V,Visa Inc.,2200000000,4500000,0.21,44.0,0.07,21000000.0,1900000000,230.0,0
1,V,Visa Inc.,2200000000,4468891,0.21,44.08,0.07,21639672.54,1900000000,231.14,0
2,V,Visa Inc.,2200000000,4821757,0.22,44.55,0.08,21436487.1,1900000000,230.6,0
3,V,Visa Inc.,2200000000,4709475,0.23,43.89,0.08,20616206.95,1900000000,229.53,0
4,V,Visa Inc.,2200000000,4470980,0.22,43.39,0.08,20241806.71,1900000000,228.24,0
5,V,Visa Inc.,2200000000,4420508,0.22,43.31,0.08,19665017.16,1900000000,231.59,0
6,V,Visa Inc.,2200000000,4166109,0.21,43.37,0.08,19428785.76,1900000000,231.84,0
7,V,Visa Inc.,2200000000,4551949,0.24,43.98,0.08,19017784.98,1900000000,230.45,0
8,V,Visa Inc.,2200000000,4599486,0.25,44.28,0.07,18512601.84,1900000000,227.64,0
9,V,Visa Inc.,2200000000,4638896,0.25,43.74,0.07,18401117.59,1900000000,229.32,0
10,V,Visa Inc.,2200000000,4532053,0.24,43.06,0.07,18527576.8,1900000000,227.67,0
11,V,Visa Inc.,2200000000,4444793,0.24,43.77,0.07,18754234.39,1900000000,228.4,0
12,V,Visa Inc.,2200000000,4258285,0.23,44.46,0.07,18878486.23,1900000000,230.53,0
13,V,Visa Inc.,2200000000,4218756,0.23,45.07,0.07,18426834.82,1900000000,229.43,0
14,V,Visa Inc.,2200000000,4203566,0.23,44.94,0.07,18560110.97,1900000000,232.54,0
15,V,Visa Inc.,2200000000,4526828,0.24,43.83,0.07,19140910.17,1900000000,233.38,0
16,V,Visa Inc.,2200000000,4546530,0.24,43.04,0.07,19176037.86,1900000000,235.3,0
17,V,Visa Inc.,2200000000,4627711,0.24,42.84,0.07,18977270.47,1900000000,234.78,0
18,V,Visa Inc.,2200000000,4839522,0.26,43.29,0.08,18776202.42,1900000000,233.6,0
19,V,Visa Inc.,2200000000,5073911,0.27,43.3,0.07,18653157.41,1900000000,233.83,0
20,V,Visa Inc.,2200000000,5149036,0.28,43.38,0.07,18655065.05,1900000000,230.41,0
21,V,Visa Inc.,2200000000,5040740,0.27,43.5,0.07,18355734.35,1900000000,227.14,0
22,V,Visa Inc.,2200000000,5516128,0.3,43.66,0.07,18450284.89,1900000000,228.06,0
23,V,Visa Inc.,2200000000,5508816,0.28,43.76,0.07,19359235.26,1900000000,223.69,0
24,V,Visa Inc.,2200000000,5499255,0.28,44.34,0.07,19801718.77,1900000000,224.36,0
25,V,Visa Inc.,2200000000,5249207,0.27,44.83,0.07,19246537.56,1900000000,226.14,0
26,V,Visa Inc.,2200000000,4989230,0.26,44.78,0.07,19284896.44,1900000000,231.09,0
27,V,Visa Inc.,2200000000,5006334,0.26,44.52,0.07,19467560.06,1900000000,227.51,0
28,V,Visa Inc.,2200000000,4810273,0.24,44.11,0.07,19784303.96,1900000000,231.03,0
29,V,Visa Inc.,2200000000,5124659,0.26,44.44,0.06,19857361.01,1900000000,231.56,0
30,V,Visa Inc.,2200000000,4807711,0.24,44.79,0.06,20064648.65,1900000000,233.37,0
