day, vol, close, short_float, Short Ratio, BF
4thjan, 40.09M, 4.31, 121.05%, 5.90, 22.6%
5thjan, 19.85M, 4.34, 121.05%, 5.90, 22.6%
6thjan, 24.22M, 4.59, 121.05%, 5.90, 21.9%
7thjan, 24.52M, 4.52, 121.05%, 5.90, 16.3%
8thjan, 25.93M, 4.42, 121.05%, 5.90, 21.7%
11thjan, 59.71M, 4.99, 121.05%, 5.90, 21.7%
12thjan, 28.24, 4.99, 121.05%, 5.90, 24.5%
13thjan, 578.01M, 7.85, 121.05%, 5.90, 22.4%
14thjan, 374.87M, 9.98, 121.05%, 5.90, 27.3%
15thjan, 187.47M, 8.88, 105.04%, 4.55, 45.3%
19thjan, 298.89M, 9.84, 105.04%, 4.55, 31.2%
20thjan, 133.89M, 9.78, 105.04%, 4.55, 25.5%
21stjan, 228.32M, 10.76, 105.04%, 4.55, 25.8%
22ndjan, 788.63M, 16.25, 105.04%, 4.55, 23.6%
25thjan, 711.50M, 19.2, 105.04%, 4.55, 32.7%
26thjan, 714.35M, 37, 105.04%, 4.55, 83.6%
27thjan, 373.59M, 86.88, 105.04%, 4.55, 50.9%
28thjan, 235.26M, 48.4, 105.04%, 4.55, 42%
29thjan, 202.26M, 81.25, 36.40%, 0.79, 36%
1stfeb, 149.53M, 56.25, 36.40%, 0.79, 28%
2ndfeb, 312.73M, 22.5, 36.40%, 0.79, 20%
3rdfeb, 170.79M, 23.10, 36.40%, 0.79, 15%
4thfeb, 249.71M, 13.38, 36.40%, 0.79, 10%
5thfeb, 325.38M, 15.94, 36.40%, 0.79, 9%
8thfeb, 102.75M, 15.00, 36.40%, 0.79, 4%
9thfeb, 107.37M, 12.58, 36.40%, 0.79, 3%
10thfeb, 145.82M, 12.80, 36.40%, 0.79, 2%
11thfeb, 52.23M, 12.78, 36.40%, 0.79, 2%
12thfeb, 58.29M, 13.10, 32.83%, 0.50, 2%
16thfeb, 32.70, 12.38, 32.83%, 0.50, 1%
