DAY,TICKER,COMPANY_NAME,TOTAL_SHARES,SIR,RSI,BF,ADV,PUBLIC,PRICE_PER_SHARE
2021-05-01,AAPL,Apple Inc.,500000000,25,50,0.10,30000000,480000000,100.0
2021-05-02,AAPL,Apple Inc.,500000000,25,48,0.097,29500000,480000000,98.5
2021-05-03,AAPL,Apple Inc.,500000000,25,46,0.094,29000000,480000000,97.0
2021-05-04,AAPL,Apple Inc.,500000000,25,44,0.091,28500000,480000000,95.5
2021-05-05,AAPL,Apple Inc.,500000000,25,42,0.088,28000000,480000000,94.0
2021-05-06,AAPL,Apple Inc.,500000000,25,40,0.085,27500000,480000000,92.5
2021-05-07,AAPL,Apple Inc.,500000000,25,38,0.082,27000000,480000000,91.0
2021-05-08,AAPL,Apple Inc.,500000000,25,36,0.079,26500000,480000000,89.5
2021-05-09,AAPL,Apple Inc.,500000000,25,34,0.076,26000000,480000000,88.0
2021-05-10,AAPL,Apple Inc.,500000000,25,32,0.073,25500000,480000000,86.5
2021-05-11,AAPL,Apple Inc.,500000000,25,30,0.070,25000000,480000000,85.0
2021-05-12,AAPL,Apple Inc.,500000000,25,28,0.067,24500000,480000000,83.5
2021-05-13,AAPL,Apple Inc.,500000000,25,26,0.064,24000000,480000000,82.0
2021-05-14,AAPL,Apple Inc.,500000000,25,25,0.061,23500000,480000000,80.5
2021-05-15,AAPL,Apple Inc.,500000000,25,25,0.058,23000000,480000000,79.0
2021-05-16,AAPL,Apple Inc.,500000000,25,25,0.055,22500000,480000000,77.5
2021-05-17,AAPL,Apple Inc.,500000000,25,25,0.052,22000000,480000000,76.0
2021-05-18,AAPL,Apple Inc.,500000000,25,25,0.049,21500000,480000000,74.5
2021-05-19,AAPL,Apple Inc.,500000000,25,25,0.046,21000000,480000000,73.0
2021-05-20,AAPL,Apple Inc.,500000000,25,25,0.043,20500000,480000000,71.5
2021-05-21,AAPL,Apple Inc.,500000000,25,25,0.040,20000000,480000000,70.0
2021-05-22,AAPL,Apple Inc.,500000000,25,25,0.040,20000000,480000000,70.0
2021-05-23,AAPL,Apple Inc.,500000000,25,25,0.040,20000000,480000000,70.0
2021-05-24,AAPL,Apple Inc.,500000000,25,25,0.040,20000000,480000000,70.0
2021-05-25,AAPL,Apple Inc.,500000000,25,25,0.040,20000000,480000000,70.0
2021-05-26,AAPL,Apple Inc.,500000000,25,25,0.040,20000000,480000000,70.0
2021-05-27,AAPL,Apple Inc.,500000000,25,25,0.040,20000000,480000000,70.0
2021-05-28,AAPL,Apple Inc.,500000000,25,25,0.040,20000000,480000000,70.0
