DAY,TICKER,COMPANY_NAME,TOTAL_SHARES,SIR,RSI,BF,ADV,PUBLIC,PRICE_PER_SHARE
2021-07-15,ADBE,Adobe Inc.,160000000,18,51,0.063,7167555,150000000,59.72
2021-07-16,ADBE,Adobe Inc.,160000000,18,57,0.084,4492113,150000000,58.24
2021-07-17,ADBE,Adobe Inc.,160000000,18,41,0.059,5844144,150000000,59.01
2021-07-18,ADBE,Adobe Inc.,160000000,18,45,0.083,3824025,150000000,58.22
2021-07-19,ADBE,Adobe Inc.,160000000,18,43,0.087,6248420,150000000,58.66
2021-07-20,ADBE,Adobe Inc.,160000000,18,51,0.066,7084294,150000000,58.92
2021-07-21,ADBE,Adobe Inc.,160000000,18,43,0.086,5312807,150000000,59.82
2021-07-22,ADBE,Adobe Inc.,160000000,18,48,0.085,1417419,150000000,58.14
2021-07-23,ADBE,Adobe Inc.,160000000,18,54,0.054,6569189,150000000,58.8
2021-07-24,ADBE,Adobe Inc.,160000000,18,41,0.076,6142670,150000000,59.93
2021-07-25,ADBE,Adobe Inc.,160000000,18,52,0.086,4107290,150000000,61.48
2021-07-26,ADBE,Adobe Inc.,160000000,18,55,0.059,3894735,150000000,61.49
2021-07-27,ADBE,Adobe Inc.,160000000,18,49,0.06,6647673,150000000,60.45
2021-07-28,ADBE,Adobe Inc.,160000000,18,59,0.062,1832158,150000000,58.66
2021-07-29,ADBE,Adobe Inc.,160000000,18,43,0.063,2829421,150000000,60.14
2021-07-30,ADBE,Adobe Inc.,160000000,18,51,0.062,7251553,150000000,59.42
2021-07-31,ADBE,Adobe Inc.,160000000,18,47,0.055,7696761,150000000,59.9
2021-08-01,ADBE,Adobe Inc.,160000000,18,51,0.079,7834219,150000000,58.39
2021-08-02,ADBE,Adobe Inc.,160000000,18,51,0.054,7180956,150000000,57.73
2021-08-03,ADBE,Adobe Inc.,160000000,18,41,0.089,1925959,150000000,57.21
2021-08-04,ADBE,Adobe Inc.,160000000,18,46,0.066,1180489,150000000,55.37
2021-08-05,ADBE,Adobe Inc.,160000000,18,44,0.061,4541828,150000000,55.95
2021-08-06,ADBE,Adobe Inc.,160000000,18,47,0.069,5635933,150000000,54.65
2021-08-07,ADBE,Adobe Inc.,160000000,18,46,0.056,1535340,150000000,55.37
2021-08-08,ADBE,Adobe Inc.,160000000,18,58,0.086,5092286,150000000,55.03
2021-08-09,ADBE,Adobe Inc.,160000000,18,42,0.082,4269429,150000000,53.87
2021-08-10,ADBE,Adobe Inc.,160000000,18,53,0.08,3820042,150000000,52.0
2021-08-11,ADBE,Adobe Inc.,160000000,18,41,0.064,3736989,150000000,50.77
