DAY,TICKER,COMPANY_NAME,TOTAL_SHARES,SIR,RSI,BF,ADV,PUBLIC,PRICE_PER_SHARE
2021-05-01,AMC,AMC Entertainment Holdings,200000000,110,30,0.12,5000000,120000000,10
2021-05-02,AMC,AMC Entertainment Holdings,200000000,110,32,0.14,5800000,120000000,14
2021-05-03,AMC,AMC Entertainment Holdings,200000000,110,34,0.16,6600000,120000000,18
2021-05-04,AMC,AMC Entertainment Holdings,200000000,110,36,0.18,7400000,120000000,22
2021-05-05,AMC,AMC Entertainment Holdings,200000000,110,38,0.20,8200000,120000000,26
2021-05-06,AMC,AMC Entertainment Holdings,200000000,110,40,0.22,9000000,120000000,30
2021-05-07,AMC,AMC Entertainment Holdings,200000000,110,42,0.24,9800000,120000000,34
2021-05-08,AMC,AMC Entertainment Holdings,200000000,110,44,0.26,10600000,120000000,38
2021-05-09,AMC,AMC Entertainment Holdings,200000000,110,46,0.28,11400000,120000000,42
2021-05-10,AMC,AMC Entertainment Holdings,200000000,110,48,0.30,12200000,120000000,46
2021-05-11,AMC,AMC Entertainment Holdings,200000000,110,50,0.32,13000000,120000000,50
2021-05-12,AMC,AMC Entertainment Holdings,200000000,110,52,0.34,13800000,120000000,54
2021-05-13,AMC,AMC Entertainment Holdings,200000000,110,54,0.36,14600000,120000000,58
2021-05-14,AMC,AMC Entertainment Holdings,200000000,110,56,0.38,15400000,120000000,62
2021-05-15,AMC,AMC Entertainment Holdings,200000000,110,58,0.40,16200000,120000000,66
2021-05-16,AMC,AMC Entertainment Holdings,200000000,110,60,0.42,17000000,120000000,70
2021-05-17,AMC,AMC Entertainment Holdings,200000000,110,62,0.44,17800000,120000000,74
2021-05-18,AMC,AMC Entertainment Holdings,200000000,110,64,0.46,18600000,120000000,78
2021-05-19,AMC,AMC Entertainment Holdings,200000000,110,66,0.48,19400000,120000000,82
2021-05-20,AMC,AMC Entertainment Holdings,200000000,110,68,0.50,20200000,120000000,86
2021-05-21,AMC,AMC Entertainment Holdings,200000000,110,70,0.52,21000000,120000000,90
2021-05-22,AMC,AMC Entertainment Holdings,200000000,110,67,0.51,20700000,120000000,87
2021-05-23,AMC,AMC Entertainment Holdings,200000000,110,64,0.49,20400000,120000000,84
2021-05-24,AMC,AMC Entertainment Holdings,200000000,110,61,0.48,20100000,120000000,81
2021-05-25,AMC,AMC Entertainment Holdings,200000000,110,58,0.46,19800000,120000000,78
2021-05-26,AMC,AMC Entertainment Holdings,200000000,110,55,0.45,19500000,120000000,75
2021-05-27,AMC,AMC Entertainment Holdings,200000000,110,52,0.43,19200000,120000000,72
2021-05-28,AMC,AMC Entertainment Holdings,200000000,110,49,0.42,18900000,120000000,69
