DAY,TICKER,COMPANY_NAME,TOTAL_SHARES,SIR,RSI,BF,ADV,PUBLIC,PRICE_PER_SHARE,SS
2021-05-10,AMD,Advanced Micro Devices Inc.,190000000,23,50,0.10,30000000,170000000,100.0,0
2021-05-11,AMD,Advanced Micro Devices Inc.,190000000,23,48,0.097,29500000,170000000,98.5,0
2021-05-12,AMD,Advanced Micro Devices Inc.,190000000,23,46,0.094,29000000,170000000,97.0,0
2021-05-13,AMD,Advanced Micro Devices Inc.,190000000,23,44,0.091,28500000,170000000,95.5,0
2021-05-14,AMD,Advanced Micro Devices Inc.,190000000,23,42,0.088,28000000,170000000,94.0,0
2021-05-15,AMD,Advanced Micro Devices Inc.,190000000,23,40,0.085,27500000,170000000,92.5,0
2021-05-16,AMD,Advanced Micro Devices Inc.,190000000,23,38,0.082,27000000,170000000,91.0,0
2021-05-17,AMD,Advanced Micro Devices Inc.,190000000,23,36,0.079,26500000,170000000,89.5,0
2021-05-18,AMD,Advanced Micro Devices Inc.,190000000,23,34,0.076,26000000,170000000,88.0,0
2021-05-19,AMD,Advanced Micro Devices Inc.,190000000,23,32,0.073,25500000,170000000,86.5,0
2021-05-20,AMD,Advanced Micro Devices Inc.,190000000,23,30,0.070,25000000,170000000,85.0,0
2021-05-21,AMD,Advanced Micro Devices Inc.,190000000,23,28,0.067,24500000,170000000,83.5,0
2021-05-22,AMD,Advanced Micro Devices Inc.,190000000,23,26,0.064,24000000,170000000,82.0,0
2021-05-23,AMD,Advanced Micro Devices Inc.,190000000,23,25,0.061,23500000,170000000,80.5,0
2021-05-24,AMD,Advanced Micro Devices Inc.,190000000,23,25,0.058,23000000,170000000,79.0,0
2021-05-25,AMD,Advanced Micro Devices Inc.,190000000,23,25,0.055,22500000,170000000,77.5,0
2021-05-26,AMD,Advanced Micro Devices Inc.,190000000,23,25,0.052,22000000,170000000,76.0,0
2021-05-27,AMD,Advanced Micro Devices Inc.,190000000,23,25,0.049,21500000,170000000,74.5,0
2021-05-28,AMD,Advanced Micro Devices Inc.,190000000,23,25,0.046,21000000,170000000,73.0,0
2021-05-29,AMD,Advanced Micro Devices Inc.,190000000,23,25,0.043,20500000,170000000,71.5,0
2021-05-30,AMD,Advanced Micro Devices Inc.,190000000,23,25,0.040,20000000,170000000,70.0,0
2021-05-31,AMD,Advanced Micro Devices Inc.,190000000,23,25,0.040,20000000,170000000,70.0,0
2021-06-01,AMD,Advanced Micro Devices Inc.,190000000,23,25,0.040,20000000,170000000,70.0,0
2021-06-02,AMD,Advanced Micro Devices Inc.,190000000,23,25,0.040,20000000,170000000,70.0,0
2021-06-03,AMD,Advanced Micro Devices Inc.,190000000,23,25,0.040,20000000,170000000,70.0,0
2021-06-04,AMD,Advanced Micro Devices Inc.,190000000,23,25,0.040,20000000,170000000,70.0,0
2021-06-05,AMD,Advanced Micro Devices Inc.,190000000,23,25,0.040,20000000,170000000,70.0,0
2021-06-06,AMD,Advanced Micro Devices Inc.,190000000,23,25,0.040,20000000,170000000,70.0,0
