DAY,TICKER,COMPANY_NAME,TOTAL_SHARES,SIR,RSI,BF,ADV,PUBLIC,PRICE_PER_SHARE
2021-05-20,AMZN,Amazon.com Inc.,250000000,22,50,0.10,30000000,230000000,100.0
2021-05-21,AMZN,Amazon.com Inc.,250000000,22,48,0.097,29500000,230000000,98.5
2021-05-22,AMZN,Amazon.com Inc.,250000000,22,46,0.094,29000000,230000000,97.0
2021-05-23,AMZN,Amazon.com Inc.,250000000,22,44,0.091,28500000,230000000,95.5
2021-05-24,AMZN,Amazon.com Inc.,250000000,22,42,0.088,28000000,230000000,94.0
2021-05-25,AMZN,Amazon.com Inc.,250000000,22,40,0.085,27500000,230000000,92.5
2021-05-26,AMZN,Amazon.com Inc.,250000000,22,38,0.082,27000000,230000000,91.0
2021-05-27,AMZN,Amazon.com Inc.,250000000,22,36,0.079,26500000,230000000,89.5
2021-05-28,AMZN,Amazon.com Inc.,250000000,22,34,0.076,26000000,230000000,88.0
2021-05-29,AMZN,Amazon.com Inc.,250000000,22,32,0.073,25500000,230000000,86.5
2021-05-30,AMZN,Amazon.com Inc.,250000000,22,30,0.070,25000000,230000000,85.0
2021-05-31,AMZN,Amazon.com Inc.,250000000,22,28,0.067,24500000,230000000,83.5
2021-06-01,AMZN,Amazon.com Inc.,250000000,22,26,0.064,24000000,230000000,82.0
2021-06-02,AMZN,Amazon.com Inc.,250000000,22,25,0.061,23500000,230000000,80.5
2021-06-03,AMZN,Amazon.com Inc.,250000000,22,25,0.058,23000000,230000000,79.0
2021-06-04,AMZN,Amazon.com Inc.,250000000,22,25,0.055,22500000,230000000,77.5
2021-06-05,AMZN,Amazon.com Inc.,250000000,22,25,0.052,22000000,230000000,76.0
2021-06-06,AMZN,Amazon.com Inc.,250000000,22,25,0.049,21500000,230000000,74.5
2021-06-07,AMZN,Amazon.com Inc.,250000000,22,25,0.046,21000000,230000000,73.0
2021-06-08,AMZN,Amazon.com Inc.,250000000,22,25,0.043,20500000,230000000,71.5
2021-06-09,AMZN,Amazon.com Inc.,250000000,22,25,0.040,20000000,230000000,70.0
2021-06-10,AMZN,Amazon.com Inc.,250000000,22,25,0.040,20000000,230000000,70.0
2021-06-11,AMZN,Amazon.com Inc.,250000000,22,25,0.040,20000000,230000000,70.0
2021-06-12,AMZN,Amazon.com Inc.,250000000,22,25,0.040,20000000,230000000,70.0
2021-06-13,AMZN,Amazon.com Inc.,250000000,22,25,0.040,20000000,230000000,70.0
2021-06-14,AMZN,Amazon.com Inc.,250000000,22,25,0.040,20000000,230000000,70.0
2021-06-15,AMZN,Amazon.com Inc.,250000000,22,25,0.040,20000000,230000000,70.0
2021-06-16,AMZN,Amazon.com Inc.,250000000,22,25,0.040,20000000,230000000,70.0
