DAY,TICKER,COMPANY_NAME,TOTAL_SHARES,SIR,RSI,BF,ADV,PUBLIC,PRICE_PER_SHARE,SS
2021-01-25,BYND,Beyond Meat Inc.,150000000,90,20,0.10,5000000,145000000,10,0
2021-01-26,BYND,Beyond Meat Inc.,150000000,90,22,0.12,5500000,145000000,13,0
2021-01-27,BYND,Beyond Meat Inc.,150000000,90,24,0.14,6000000,145000000,16,0
2021-01-28,BYND,Beyond Meat Inc.,150000000,90,26,0.16,6500000,145000000,19,0
2021-01-29,BYND,Beyond Meat Inc.,150000000,90,28,0.18,7000000,145000000,22,0
2021-01-30,BYND,Beyond Meat Inc.,150000000,90,30,0.20,7500000,145000000,25,0
2021-01-31,BYND,Beyond Meat Inc.,150000000,90,32,0.22,8000000,145000000,28,0
2021-02-01,BYND,Beyond Meat Inc.,150000000,90,50,0.45,15000000,145000000,31,1
2021-02-02,BYND,Beyond Meat Inc.,150000000,90,52,0.48,15500000,145000000,34,1
2021-02-03,BYND,Beyond Meat Inc.,150000000,90,54,0.50,16000000,145000000,37,1
2021-02-04,BYND,Beyond Meat Inc.,150000000,90,56,0.53,16500000,145000000,40,1
2021-02-05,BYND,Beyond Meat Inc.,150000000,90,58,0.55,17000000,145000000,43,1
2021-02-06,BYND,Beyond Meat Inc.,150000000,90,60,0.58,17500000,145000000,46,1
2021-02-07,BYND,Beyond Meat Inc.,150000000,90,62,0.60,18000000,145000000,49,1
2021-02-08,BYND,Beyond Meat Inc.,150000000,90,64,0.63,18500000,145000000,52,1
2021-02-09,BYND,Beyond Meat Inc.,150000000,90,66,0.65,19000000,145000000,55,1
2021-02-10,BYND,Beyond Meat Inc.,150000000,90,68,0.68,19500000,145000000,58,1
2021-02-11,BYND,Beyond Meat Inc.,150000000,90,70,0.70,20000000,145000000,61,1
2021-02-12,BYND,Beyond Meat Inc.,150000000,90,67,0.68,19500000,145000000,64,1
2021-02-13,BYND,Beyond Meat Inc.,150000000,90,64,0.66,19000000,145000000,67,1
2021-02-14,BYND,Beyond Meat Inc.,150000000,90,61,0.63,18500000,145000000,70,1
2021-02-15,BYND,Beyond Meat Inc.,150000000,90,58,0.60,18000000,145000000,68,1
2021-02-16,BYND,Beyond Meat Inc.,150000000,90,54,0.58,17500000,145000000,66,0
2021-02-17,BYND,Beyond Meat Inc.,150000000,90,51,0.55,17000000,145000000,64,0
2021-02-18,BYND,Beyond Meat Inc.,150000000,90,48,0.53,16500000,145000000,62,0
2021-02-19,BYND,Beyond Meat Inc.,150000000,90,45,0.50,16000000,145000000,60,0
2021-02-20,BYND,Beyond Meat Inc.,150000000,90,42,0.48,15500000,145000000,58,0
2021-02-21,BYND,Beyond Meat Inc.,150000000,90,39,0.45,15000000,145000000,56,0
