DAY,TICKER,COMPANY_NAME,TOTAL_SHARES,SIR,RSI,BF,ADV,PUBLIC,PRICE_PER_SHARE
2021-08-10,CRM,Salesforce.com,140000000,22,57,0.064,2843005,130000000,149.97
2021-08-11,CRM,Salesforce.com,140000000,22,41,0.052,1930152,130000000,148.01
2021-08-12,CRM,Salesforce.com,140000000,22,42,0.065,7111780,130000000,148.63
2021-08-13,CRM,Salesforce.com,140000000,22,59,0.074,2359962,130000000,150.46
2021-08-14,CRM,Salesforce.com,140000000,22,41,0.087,6562529,130000000,149.13
2021-08-15,CRM,Salesforce.com,140000000,22,40,0.07,7755951,130000000,147.28
2021-08-16,CRM,Salesforce.com,140000000,22,53,0.064,5379522,130000000,146.85
2021-08-17,CRM,Salesforce.com,140000000,22,55,0.05,7094415,130000000,146.68
2021-08-18,CRM,Salesforce.com,140000000,22,41,0.053,5626309,130000000,147.94
2021-08-19,CRM,Salesforce.com,140000000,22,46,0.089,6369318,130000000,149.72
2021-08-20,CRM,Salesforce.com,140000000,22,44,0.078,5633254,130000000,148.3
2021-08-21,CRM,Salesforce.com,140000000,22,53,0.055,4598096,130000000,146.88
2021-08-22,CRM,Salesforce.com,140000000,22,57,0.067,6815234,130000000,147.48
2021-08-23,CRM,Salesforce.com,140000000,22,42,0.067,6785776,130000000,146.75
2021-08-24,CRM,Salesforce.com,140000000,22,57,0.088,5443698,130000000,147.58
2021-08-25,CRM,Salesforce.com,140000000,22,58,0.086,4120159,130000000,147.7
2021-08-26,CRM,Salesforce.com,140000000,22,48,0.063,1843479,130000000,147.59
2021-08-27,CRM,Salesforce.com,140000000,22,51,0.058,1073411,130000000,147.48
2021-08-28,CRM,Salesforce.com,140000000,22,50,0.084,2434407,130000000,146.97
2021-08-29,CRM,Salesforce.com,140000000,22,45,0.062,1388671,130000000,146.1
2021-08-30,CRM,Salesforce.com,140000000,22,45,0.084,6231272,130000000,147.32
2021-08-31,CRM,Salesforce.com,140000000,22,50,0.074,3852464,130000000,149.16
2021-09-01,CRM,Salesforce.com,140000000,22,53,0.069,5139718,130000000,150.36
2021-09-02,CRM,Salesforce.com,140000000,22,44,0.084,3587997,130000000,148.4
2021-09-03,CRM,Salesforce.com,140000000,22,47,0.056,4452480,130000000,149.54
2021-09-04,CRM,Salesforce.com,140000000,22,50,0.071,7150973,130000000,151.06
2021-09-05,CRM,Salesforce.com,140000000,22,50,0.083,2233704,130000000,150.52
2021-09-06,CRM,Salesforce.com,140000000,22,54,0.06,3565324,130000000,150.57
