DAY,TICKER,COMPANY_NAME,TOTAL_SHARES,SIR,RSI,BF,ADV,PUBLIC,PRICE_PER_SHARE
2021-08-01,CSCO,Cisco Systems,250000000,10,52,0.086,5552915,240000000,91.64
2021-08-02,CSCO,Cisco Systems,250000000,10,42,0.053,6615322,240000000,90.05
2021-08-03,CSCO,Cisco Systems,250000000,10,56,0.082,3492227,240000000,91.73
2021-08-04,CSCO,Cisco Systems,250000000,10,44,0.072,1335590,240000000,93.14
2021-08-05,CSCO,Cisco Systems,250000000,10,60,0.052,2382629,240000000,91.41
2021-08-06,CSCO,Cisco Systems,250000000,10,50,0.055,4621941,240000000,91.78
2021-08-07,CSCO,Cisco Systems,250000000,10,46,0.072,5402654,240000000,93.62
2021-08-08,CSCO,Cisco Systems,250000000,10,44,0.052,6610735,240000000,95.02
2021-08-09,CSCO,Cisco Systems,250000000,10,59,0.08,3151966,240000000,95.82
2021-08-10,CSCO,Cisco Systems,250000000,10,56,0.065,6961074,240000000,93.89
2021-08-11,CSCO,Cisco Systems,250000000,10,47,0.071,2732391,240000000,94.87
2021-08-12,CSCO,Cisco Systems,250000000,10,49,0.064,1005469,240000000,94.97
2021-08-13,CSCO,Cisco Systems,250000000,10,46,0.078,1055752,240000000,96.51
2021-08-14,CSCO,Cisco Systems,250000000,10,60,0.051,4223318,240000000,95.1
2021-08-15,CSCO,Cisco Systems,250000000,10,42,0.084,2983234,240000000,93.16
2021-08-16,CSCO,Cisco Systems,250000000,10,41,0.069,6865251,240000000,92.99
2021-08-17,CSCO,Cisco Systems,250000000,10,50,0.056,5118009,240000000,92.54
2021-08-18,CSCO,Cisco Systems,250000000,10,55,0.081,4077924,240000000,92.16
2021-08-19,CSCO,Cisco Systems,250000000,10,57,0.053,2692698,240000000,92.8
2021-08-20,CSCO,Cisco Systems,250000000,10,56,0.089,3254774,240000000,93.05
2021-08-21,CSCO,Cisco Systems,250000000,10,46,0.063,3444975,240000000,91.34
2021-08-22,CSCO,Cisco Systems,250000000,10,58,0.079,3694789,240000000,91.4
2021-08-23,CSCO,Cisco Systems,250000000,10,44,0.085,5156571,240000000,92.16
2021-08-24,CSCO,Cisco Systems,250000000,10,47,0.051,3625192,240000000,90.88
2021-08-25,CSCO,Cisco Systems,250000000,10,53,0.063,1098362,240000000,89.32
2021-08-26,CSCO,Cisco Systems,250000000,10,59,0.085,3988180,240000000,89.9
2021-08-27,CSCO,Cisco Systems,250000000,10,58,0.08,5649357,240000000,91.54
2021-08-28,CSCO,Cisco Systems,250000000,10,44,0.081,5055033,240000000,91.51
