DAY,TICKER,COMPANY_NAME,TOTAL_SHARES,SIR,RSI,BF,ADV,PUBLIC,PRICE_PER_SHARE
2021-07-20,CSX,CSX Corporation,110000000,30,43,0.062,4464855,100000000,82.61
2021-07-21,CSX,CSX Corporation,110000000,30,54,0.073,3058266,100000000,81.08
2021-07-22,CSX,CSX Corporation,110000000,30,42,0.068,2091264,100000000,82.91
2021-07-23,CSX,CSX Corporation,110000000,30,50,0.073,7593781,100000000,84.76
2021-07-24,CSX,CSX Corporation,110000000,30,51,0.069,6714416,100000000,85.07
2021-07-25,CSX,CSX Corporation,110000000,30,55,0.053,2548845,100000000,85.46
2021-07-26,CSX,CSX Corporation,110000000,30,54,0.065,1810239,100000000,86.57
2021-07-27,CSX,CSX Corporation,110000000,30,41,0.054,4200286,100000000,88.28
2021-07-28,CSX,CSX Corporation,110000000,30,48,0.086,4575852,100000000,86.97
2021-07-29,CSX,CSX Corporation,110000000,30,46,0.059,1409221,100000000,85.99
2021-07-30,CSX,CSX Corporation,110000000,30,53,0.064,1185112,100000000,87.96
2021-07-31,CSX,CSX Corporation,110000000,30,52,0.068,3751798,100000000,88.11
2021-08-01,CSX,CSX Corporation,110000000,30,50,0.09,2834568,100000000,86.94
2021-08-02,CSX,CSX Corporation,110000000,30,43,0.076,2065641,100000000,86.37
2021-08-03,CSX,CSX Corporation,110000000,30,52,0.062,6382086,100000000,84.37
2021-08-04,CSX,CSX Corporation,110000000,30,40,0.073,4445860,100000000,86.14
2021-08-05,CSX,CSX Corporation,110000000,30,41,0.06,3093202,100000000,86.95
2021-08-06,CSX,CSX Corporation,110000000,30,47,0.064,1905174,100000000,85.08
2021-08-07,CSX,CSX Corporation,110000000,30,58,0.074,3410506,100000000,83.44
2021-08-08,CSX,CSX Corporation,110000000,30,43,0.068,7212694,100000000,84.06
2021-08-09,CSX,CSX Corporation,110000000,30,52,0.076,5466955,100000000,84.34
2021-08-10,CSX,CSX Corporation,110000000,30,43,0.052,5279486,100000000,84.84
2021-08-11,CSX,CSX Corporation,110000000,30,51,0.076,7324768,100000000,83.85
2021-08-12,CSX,CSX Corporation,110000000,30,43,0.085,1179888,100000000,83.48
2021-08-13,CSX,CSX Corporation,110000000,30,59,0.079,7123943,100000000,84.16
2021-08-14,CSX,CSX Corporation,110000000,30,55,0.08,6550559,100000000,85.12
2021-08-15,CSX,CSX Corporation,110000000,30,54,0.055,3882387,100000000,85.35
2021-08-16,CSX,CSX Corporation,110000000,30,50,0.079,1316900,100000000,84.9
