DAY,TICKER,COMPANY_NAME,TOTAL_SHARES,SIR,RSI,BF,ADV,PUBLIC,PRICE_PER_SHARE
2021-04-10,FUBO,fuboTV Inc.,140000000,130,20,0.10,5000000,135000000,10
2021-04-11,FUBO,fuboTV Inc.,140000000,130,22,0.12,5500000,135000000,13
2021-04-12,FUBO,fuboTV Inc.,140000000,130,24,0.14,6000000,135000000,16
2021-04-13,FUBO,fuboTV Inc.,140000000,130,26,0.16,6500000,135000000,19
2021-04-14,FUBO,fuboTV Inc.,140000000,130,28,0.18,7000000,135000000,22
2021-04-15,FUBO,fuboTV Inc.,140000000,130,30,0.20,7500000,135000000,25
2021-04-16,FUBO,fuboTV Inc.,140000000,130,32,0.22,8000000,135000000,28
2021-04-17,FUBO,fuboTV Inc.,140000000,130,34,0.24,8500000,135000000,31
2021-04-18,FUBO,fuboTV Inc.,140000000,130,36,0.26,9000000,135000000,34
2021-04-19,FUBO,fuboTV Inc.,140000000,130,38,0.28,9500000,135000000,37
2021-04-20,FUBO,fuboTV Inc.,140000000,130,40,0.30,10000000,135000000,40
2021-04-21,FUBO,fuboTV Inc.,140000000,130,42,0.32,10500000,135000000,43
2021-04-22,FUBO,fuboTV Inc.,140000000,130,44,0.34,11000000,135000000,46
2021-04-23,FUBO,fuboTV Inc.,140000000,130,46,0.36,11500000,135000000,49
2021-04-24,FUBO,fuboTV Inc.,140000000,130,48,0.38,12000000,135000000,52
2021-04-25,FUBO,fuboTV Inc.,140000000,130,50,0.40,12500000,135000000,55
2021-04-26,FUBO,fuboTV Inc.,140000000,130,52,0.42,13000000,135000000,58
2021-04-27,FUBO,fuboTV Inc.,140000000,130,54,0.44,13500000,135000000,61
2021-04-28,FUBO,fuboTV Inc.,140000000,130,56,0.46,14000000,135000000,64
2021-04-29,FUBO,fuboTV Inc.,140000000,130,58,0.48,14500000,135000000,67
2021-04-30,FUBO,fuboTV Inc.,140000000,130,60,0.50,15000000,135000000,70
2021-05-01,FUBO,fuboTV Inc.,140000000,130,57,0.49,14800000,135000000,68
2021-05-02,FUBO,fuboTV Inc.,140000000,130,54,0.48,14600000,135000000,66
2021-05-03,FUBO,fuboTV Inc.,140000000,130,51,0.47,14400000,135000000,64
2021-05-04,FUBO,fuboTV Inc.,140000000,130,48,0.46,14200000,135000000,62
2021-05-05,FUBO,fuboTV Inc.,140000000,130,45,0.45,14000000,135000000,60
2021-05-06,FUBO,fuboTV Inc.,140000000,130,42,0.44,13800000,135000000,58
2021-05-07,FUBO,fuboTV Inc.,140000000,130,39,0.43,13600000,135000000,56
