DAY,TICKER,COMPANY_NAME,TOTAL_SHARES,SIR,RSI,BF,ADV,PUBLIC,PRICE_PER_SHARE
2021-09-20,HON,Honeywell International,90000000,20,41,0.066,2902039,80000000,133.18
2021-09-21,HON,Honeywell International,90000000,20,56,0.074,3408711,80000000,133.43
2021-09-22,HON,Honeywell International,90000000,20,49,0.057,5327028,80000000,135.38
2021-09-23,HON,Honeywell International,90000000,20,58,0.059,3535302,80000000,135.04
2021-09-24,HON,Honeywell International,90000000,20,55,0.078,3344708,80000000,135.48
2021-09-25,HON,Honeywell International,90000000,20,59,0.087,1206473,80000000,136.83
2021-09-26,HON,Honeywell International,90000000,20,52,0.079,2681256,80000000,137.55
2021-09-27,HON,Honeywell International,90000000,20,45,0.081,2316022,80000000,138.75
2021-09-28,HON,Honeywell International,90000000,20,50,0.073,7435023,80000000,139.58
2021-09-29,HON,Honeywell International,90000000,20,51,0.075,6469267,80000000,139.31
2021-09-30,HON,Honeywell International,90000000,20,46,0.054,1722756,80000000,139.36
2021-10-01,HON,Honeywell International,90000000,20,47,0.078,3330516,80000000,139.05
2021-10-02,HON,Honeywell International,90000000,20,58,0.075,1125437,80000000,141.03
2021-10-03,HON,Honeywell International,90000000,20,51,0.067,4371233,80000000,142.92
2021-10-04,HON,Honeywell International,90000000,20,47,0.059,2995690,80000000,143.77
2021-10-05,HON,Honeywell International,90000000,20,47,0.069,1710766,80000000,142.14
2021-10-06,HON,Honeywell International,90000000,20,48,0.055,6777319,80000000,142.06
2021-10-07,HON,Honeywell International,90000000,20,58,0.05,7451378,80000000,143.91
2021-10-08,HON,Honeywell International,90000000,20,57,0.056,3380148,80000000,143.24
2021-10-09,HON,Honeywell International,90000000,20,60,0.062,5793850,80000000,144.91
2021-10-10,HON,Honeywell International,90000000,20,54,0.067,3771616,80000000,143.31
2021-10-11,HON,Honeywell International,90000000,20,49,0.072,6841930,80000000,143.4
2021-10-12,HON,Honeywell International,90000000,20,48,0.076,1858592,80000000,144.77
2021-10-13,HON,Honeywell International,90000000,20,46,0.072,4615288,80000000,144.71
2021-10-14,HON,Honeywell International,90000000,20,48,0.082,4753277,80000000,144.53
2021-10-15,HON,Honeywell International,90000000,20,40,0.075,2699625,80000000,142.65
2021-10-16,HON,Honeywell International,90000000,20,51,0.074,1903680,80000000,141.88
2021-10-17,HON,Honeywell International,90000000,20,45,0.082,3801509,80000000,141.95
