DAY,TICKER,COMPANY_NAME,TOTAL_SHARES,SIR,RSI,BF,ADV,PUBLIC,PRICE_PER_SHARE
2021-07-01,IBM,International Business Machines,300000000,20,53,0.074,5271148,290000000,75.39
2021-07-02,IBM,International Business Machines,300000000,20,52,0.087,3686626,290000000,76.52
2021-07-03,IBM,International Business Machines,300000000,20,54,0.062,4788813,290000000,75.13
2021-07-04,IBM,International Business Machines,300000000,20,55,0.064,4267371,290000000,77.08
2021-07-05,IBM,International Business Machines,300000000,20,42,0.063,3137366,290000000,76.13
2021-07-06,IBM,International Business Machines,300000000,20,44,0.083,3600501,290000000,74.31
2021-07-07,IBM,International Business Machines,300000000,20,46,0.089,2584868,290000000,75.21
2021-07-08,IBM,International Business Machines,300000000,20,46,0.077,1459664,290000000,74.3
2021-07-09,IBM,International Business Machines,300000000,20,58,0.069,3274551,290000000,76.02
2021-07-10,IBM,International Business Machines,300000000,20,48,0.076,5338766,290000000,75.6
2021-07-11,IBM,International Business Machines,300000000,20,58,0.056,1063362,290000000,74.27
2021-07-12,IBM,International Business Machines,300000000,20,58,0.067,1910246,290000000,75.17
2021-07-13,IBM,International Business Machines,300000000,20,55,0.079,3485272,290000000,74.21
2021-07-14,IBM,International Business Machines,300000000,20,42,0.087,2832835,290000000,75.84
2021-07-15,IBM,International Business Machines,300000000,20,58,0.081,5725219,290000000,76.77
2021-07-16,IBM,International Business Machines,300000000,20,45,0.054,2915171,290000000,77.1
2021-07-17,IBM,International Business Machines,300000000,20,48,0.073,6774634,290000000,78.63
2021-07-18,IBM,International Business Machines,300000000,20,49,0.07,6487449,290000000,79.18
2021-07-19,IBM,International Business Machines,300000000,20,47,0.09,7323152,290000000,80.19
2021-07-20,IBM,International Business Machines,300000000,20,57,0.07,5916620,290000000,80.38
2021-07-21,IBM,International Business Machines,300000000,20,51,0.077,7460274,290000000,78.59
2021-07-22,IBM,International Business Machines,300000000,20,49,0.062,6994564,290000000,78.7
2021-07-23,IBM,International Business Machines,300000000,20,48,0.051,4946841,290000000,77.16
2021-07-24,IBM,International Business Machines,300000000,20,49,0.085,3040306,290000000,76.09
2021-07-25,IBM,International Business Machines,300000000,20,48,0.063,6633854,290000000,76.67
2021-07-26,IBM,International Business Machines,300000000,20,59,0.08,2670044,290000000,76.27
2021-07-27,IBM,International Business Machines,300000000,20,44,0.068,7240475,290000000,78.18
2021-07-28,IBM,International Business Machines,300000000,20,47,0.062,4598114,290000000,78.36
