DAY,TICKER,COMPANY_NAME,TOTAL_SHARES,SIR,RSI,BF,ADV,PUBLIC,PRICE_PER_SHARE
2021-03-15,INTC,Intel Corporation,210000000,16,50,0.10,30000000,190000000,100.0
2021-03-16,INTC,Intel Corporation,210000000,16,48,0.097,29500000,190000000,98.5
2021-03-17,INTC,Intel Corporation,210000000,16,46,0.094,29000000,190000000,97.0
2021-03-18,INTC,Intel Corporation,210000000,16,44,0.091,28500000,190000000,95.5
2021-03-19,INTC,Intel Corporation,210000000,16,42,0.088,28000000,190000000,94.0
2021-03-20,INTC,Intel Corporation,210000000,16,40,0.085,27500000,190000000,92.5
2021-03-21,INTC,Intel Corporation,210000000,16,38,0.082,27000000,190000000,91.0
2021-03-22,INTC,Intel Corporation,210000000,16,36,0.079,26500000,190000000,89.5
2021-03-23,INTC,Intel Corporation,210000000,16,34,0.076,26000000,190000000,88.0
2021-03-24,INTC,Intel Corporation,210000000,16,32,0.073,25500000,190000000,86.5
2021-03-25,INTC,Intel Corporation,210000000,16,30,0.070,25000000,190000000,85.0
2021-03-26,INTC,Intel Corporation,210000000,16,28,0.067,24500000,190000000,83.5
2021-03-27,INTC,Intel Corporation,210000000,16,26,0.064,24000000,190000000,82.0
2021-03-28,INTC,Intel Corporation,210000000,16,25,0.061,23500000,190000000,80.5
2021-03-29,INTC,Intel Corporation,210000000,16,25,0.058,23000000,190000000,79.0
2021-03-30,INTC,Intel Corporation,210000000,16,25,0.055,22500000,190000000,77.5
2021-03-31,INTC,Intel Corporation,210000000,16,25,0.052,22000000,190000000,76.0
2021-04-01,INTC,Intel Corporation,210000000,16,25,0.049,21500000,190000000,74.5
2021-04-02,INTC,Intel Corporation,210000000,16,25,0.046,21000000,190000000,73.0
2021-04-03,INTC,Intel Corporation,210000000,16,25,0.043,20500000,190000000,71.5
2021-04-04,INTC,Intel Corporation,210000000,16,25,0.040,20000000,190000000,70.0
2021-04-05,INTC,Intel Corporation,210000000,16,25,0.040,20000000,190000000,70.0
2021-04-06,INTC,Intel Corporation,210000000,16,25,0.040,20000000,190000000,70.0
2021-04-07,INTC,Intel Corporation,210000000,16,25,0.040,20000000,190000000,70.0
2021-04-08,INTC,Intel Corporation,210000000,16,25,0.040,20000000,190000000,70.0
2021-04-09,INTC,Intel Corporation,210000000,16,25,0.040,20000000,190000000,70.0
2021-04-10,INTC,Intel Corporation,210000000,16,25,0.040,20000000,190000000,70.0
2021-04-11,INTC,Intel Corporation,210000000,16,25,0.040,20000000,190000000,70.0
