DAY,TICKER,COMPANY_NAME,TOTAL_SHARES,SIR,RSI,BF,ADV,PUBLIC,PRICE_PER_SHARE
2021-09-10,INTU,Intuit Inc.,120000000,12,49,0.07,6681971,110000000,109.19
2021-09-11,INTU,Intuit Inc.,120000000,12,55,0.069,3221788,110000000,109.86
2021-09-12,INTU,Intuit Inc.,120000000,12,54,0.058,1839942,110000000,108.03
2021-09-13,INTU,Intuit Inc.,120000000,12,49,0.064,5317081,110000000,108.1
2021-09-14,INTU,Intuit Inc.,120000000,12,54,0.086,1604819,110000000,108.11
2021-09-15,INTU,Intuit Inc.,120000000,12,42,0.089,7058634,110000000,109.59
2021-09-16,INTU,Intuit Inc.,120000000,12,43,0.055,2936402,110000000,107.72
2021-09-17,INTU,Intuit Inc.,120000000,12,43,0.052,1738307,110000000,106.57
2021-09-18,INTU,Intuit Inc.,120000000,12,57,0.076,1549542,110000000,107.56
2021-09-19,INTU,Intuit Inc.,120000000,12,45,0.071,1274931,110000000,108.14
2021-09-20,INTU,Intuit Inc.,120000000,12,59,0.067,6031728,110000000,110.01
2021-09-21,INTU,Intuit Inc.,120000000,12,58,0.055,2937895,110000000,108.26
2021-09-22,INTU,Intuit Inc.,120000000,12,56,0.082,1689412,110000000,108.36
2021-09-23,INTU,Intuit Inc.,120000000,12,47,0.085,3749961,110000000,109.81
2021-09-24,INTU,Intuit Inc.,120000000,12,52,0.064,3634425,110000000,108.06
2021-09-25,INTU,Intuit Inc.,120000000,12,46,0.081,1369441,110000000,109.92
2021-09-26,INTU,Intuit Inc.,120000000,12,51,0.061,2932754,110000000,108.5
2021-09-27,INTU,Intuit Inc.,120000000,12,43,0.084,1896409,110000000,109.43
2021-09-28,INTU,Intuit Inc.,120000000,12,53,0.069,3960008,110000000,108.85
2021-09-29,INTU,Intuit Inc.,120000000,12,59,0.085,4307749,110000000,107.44
2021-09-30,INTU,Intuit Inc.,120000000,12,56,0.084,3697995,110000000,106.4
2021-10-01,INTU,Intuit Inc.,120000000,12,54,0.057,3366779,110000000,105.19
2021-10-02,INTU,Intuit Inc.,120000000,12,54,0.056,5291655,110000000,106.17
2021-10-03,INTU,Intuit Inc.,120000000,12,56,0.066,5494282,110000000,104.3
2021-10-04,INTU,Intuit Inc.,120000000,12,58,0.065,4814945,110000000,102.84
2021-10-05,INTU,Intuit Inc.,120000000,12,53,0.081,4125052,110000000,101.85
2021-10-06,INTU,Intuit Inc.,120000000,12,60,0.062,6304135,110000000,101.62
2021-10-07,INTU,Intuit Inc.,120000000,12,50,0.055,3146487,110000000,100.31
