DAY,TICKER,COMPANY_NAME,TOTAL_SHARES,SIR,RSI,BF,ADV,PUBLIC,PRICE_PER_SHARE
2021-03-01,KOSS,Koss Corporation,170000000,110,20,0.10,5000000,165000000,10
2021-03-02,KOSS,Koss Corporation,170000000,110,22,0.12,5500000,165000000,13
2021-03-03,KOSS,Koss Corporation,170000000,110,24,0.14,6000000,165000000,16
2021-03-04,KOSS,Koss Corporation,170000000,110,26,0.16,6500000,165000000,19
2021-03-05,KOSS,Koss Corporation,170000000,110,28,0.18,7000000,165000000,22
2021-03-06,KOSS,Koss Corporation,170000000,110,30,0.20,7500000,165000000,25
2021-03-07,KOSS,Koss Corporation,170000000,110,32,0.22,8000000,165000000,28
2021-03-08,KOSS,Koss Corporation,170000000,110,34,0.24,8500000,165000000,31
2021-03-09,KOSS,Koss Corporation,170000000,110,36,0.26,9000000,165000000,34
2021-03-10,KOSS,Koss Corporation,170000000,110,38,0.28,9500000,165000000,37
2021-03-11,KOSS,Koss Corporation,170000000,110,40,0.30,10000000,165000000,40
2021-03-12,KOSS,Koss Corporation,170000000,110,42,0.32,10500000,165000000,43
2021-03-13,KOSS,Koss Corporation,170000000,110,44,0.34,11000000,165000000,46
2021-03-14,KOSS,Koss Corporation,170000000,110,46,0.36,11500000,165000000,49
2021-03-15,KOSS,Koss Corporation,170000000,110,48,0.38,12000000,165000000,52
2021-03-16,KOSS,Koss Corporation,170000000,110,50,0.40,12500000,165000000,55
2021-03-17,KOSS,Koss Corporation,170000000,110,52,0.42,13000000,165000000,58
2021-03-18,KOSS,Koss Corporation,170000000,110,54,0.44,13500000,165000000,61
2021-03-19,KOSS,Koss Corporation,170000000,110,56,0.46,14000000,165000000,64
2021-03-20,KOSS,Koss Corporation,170000000,110,58,0.48,14500000,165000000,67
2021-03-21,KOSS,Koss Corporation,170000000,110,60,0.50,15000000,165000000,70
2021-03-22,KOSS,Koss Corporation,170000000,110,57,0.49,14800000,165000000,68
2021-03-23,KOSS,Koss Corporation,170000000,110,54,0.48,14600000,165000000,66
2021-03-24,KOSS,Koss Corporation,170000000,110,51,0.47,14400000,165000000,64
2021-03-25,KOSS,Koss Corporation,170000000,110,48,0.46,14200000,165000000,62
2021-03-26,KOSS,Koss Corporation,170000000,110,45,0.45,14000000,165000000,60
2021-03-27,KOSS,Koss Corporation,170000000,110,42,0.44,13800000,165000000,58
2021-03-28,KOSS,Koss Corporation,170000000,110,39,0.43,13600000,165000000,56
