DAY,TICKER,COMPANY_NAME,TOTAL_SHARES,SIR,RSI,BF,ADV,PUBLIC,PRICE_PER_SHARE
2021-08-15,MMM,3M Company,100000000,28,52,0.067,2430171,90000000,68.73
2021-08-16,MMM,3M Company,100000000,28,57,0.071,6531176,90000000,67.68
2021-08-17,MMM,3M Company,100000000,28,41,0.077,7316333,90000000,68.17
2021-08-18,MMM,3M Company,100000000,28,48,0.078,2434606,90000000,66.45
2021-08-19,MMM,3M Company,100000000,28,42,0.089,3699442,90000000,65.01
2021-08-20,MMM,3M Company,100000000,28,47,0.071,5628417,90000000,63.07
2021-08-21,MMM,3M Company,100000000,28,54,0.089,1163185,90000000,61.94
2021-08-22,MMM,3M Company,100000000,28,58,0.071,6016142,90000000,61.51
2021-08-23,MMM,3M Company,100000000,28,48,0.074,2902538,90000000,63.21
2021-08-24,MMM,3M Company,100000000,28,58,0.088,4037807,90000000,63.21
2021-08-25,MMM,3M Company,100000000,28,40,0.055,6622953,90000000,65.15
2021-08-26,MMM,3M Company,100000000,28,58,0.068,4115880,90000000,66.78
2021-08-27,MMM,3M Company,100000000,28,41,0.086,7304264,90000000,68.3
2021-08-28,MMM,3M Company,100000000,28,48,0.087,3647785,90000000,69.81
2021-08-29,MMM,3M Company,100000000,28,58,0.075,2614084,90000000,69.72
2021-08-30,MMM,3M Company,100000000,28,58,0.075,5274652,90000000,68.68
2021-08-31,MMM,3M Company,100000000,28,47,0.066,4589264,90000000,70.29
2021-09-01,MMM,3M Company,100000000,28,50,0.062,7464335,90000000,71.24
2021-09-02,MMM,3M Company,100000000,28,56,0.063,7111289,90000000,70.04
2021-09-03,MMM,3M Company,100000000,28,41,0.082,5908930,90000000,71.07
2021-09-04,MMM,3M Company,100000000,28,52,0.062,6980106,90000000,70.56
2021-09-05,MMM,3M Company,100000000,28,56,0.068,7030533,90000000,69.0
2021-09-06,MMM,3M Company,100000000,28,58,0.055,2793736,90000000,68.31
2021-09-07,MMM,3M Company,100000000,28,51,0.084,6894803,90000000,68.88
2021-09-08,MMM,3M Company,100000000,28,46,0.06,3386137,90000000,68.97
2021-09-09,MMM,3M Company,100000000,28,59,0.081,3827959,90000000,70.09
2021-09-10,MMM,3M Company,100000000,28,57,0.062,7521420,90000000,68.5
2021-09-11,MMM,3M Company,100000000,28,44,0.083,5310191,90000000,69.28
