DAY,TICKER,COMPANY_NAME,TOTAL_SHARES,SIR,RSI,BF,ADV,PUBLIC,PRICE_PER_SHARE
2021-02-10,NOK,Nokia Corporation,180000000,115,20,0.10,5000000,175000000,10
2021-02-11,NOK,Nokia Corporation,180000000,115,22,0.12,5500000,175000000,13
2021-02-12,NOK,Nokia Corporation,180000000,115,24,0.14,6000000,175000000,16
2021-02-13,NOK,Nokia Corporation,180000000,115,26,0.16,6500000,175000000,19
2021-02-14,NOK,Nokia Corporation,180000000,115,28,0.18,7000000,175000000,22
2021-02-15,NOK,Nokia Corporation,180000000,115,30,0.20,7500000,175000000,25
2021-02-16,NOK,Nokia Corporation,180000000,115,32,0.22,8000000,175000000,28
2021-02-17,NOK,Nokia Corporation,180000000,115,34,0.24,8500000,175000000,31
2021-02-18,NOK,Nokia Corporation,180000000,115,36,0.26,9000000,175000000,34
2021-02-19,NOK,Nokia Corporation,180000000,115,38,0.28,9500000,175000000,37
2021-02-20,NOK,Nokia Corporation,180000000,115,40,0.30,10000000,175000000,40
2021-02-21,NOK,Nokia Corporation,180000000,115,42,0.32,10500000,175000000,43
2021-02-22,NOK,Nokia Corporation,180000000,115,44,0.34,11000000,175000000,46
2021-02-23,NOK,Nokia Corporation,180000000,115,46,0.36,11500000,175000000,49
2021-02-24,NOK,Nokia Corporation,180000000,115,48,0.38,12000000,175000000,52
2021-02-25,NOK,Nokia Corporation,180000000,115,50,0.40,12500000,175000000,55
2021-02-26,NOK,Nokia Corporation,180000000,115,52,0.42,13000000,175000000,58
2021-02-27,NOK,Nokia Corporation,180000000,115,54,0.44,13500000,175000000,61
2021-02-28,NOK,Nokia Corporation,180000000,115,56,0.46,14000000,175000000,64
2021-03-01,NOK,Nokia Corporation,180000000,115,58,0.48,14500000,175000000,67
2021-03-02,NOK,Nokia Corporation,180000000,115,60,0.50,15000000,175000000,70
2021-03-03,NOK,Nokia Corporation,180000000,115,57,0.49,14800000,175000000,68
2021-03-04,NOK,Nokia Corporation,180000000,115,54,0.48,14600000,175000000,66
2021-03-05,NOK,Nokia Corporation,180000000,115,51,0.47,14400000,175000000,64
2021-03-06,NOK,Nokia Corporation,180000000,115,48,0.46,14200000,175000000,62
2021-03-07,NOK,Nokia Corporation,180000000,115,45,0.45,14000000,175000000,60
2021-03-08,NOK,Nokia Corporation,180000000,115,42,0.44,13800000,175000000,58
2021-03-09,NOK,Nokia Corporation,180000000,115,39,0.43,13600000,175000000,56
