DAY,TICKER,COMPANY_NAME,TOTAL_SHARES,SIR,RSI,BF,ADV,PUBLIC,PRICE_PER_SHARE,SS
2021-02-25,NVDA,NVIDIA Corporation,220000000,28,50,0.10,30000000,200000000,100.0,0
2021-02-26,NVDA,NVIDIA Corporation,220000000,28,48,0.097,29500000,200000000,98.5,0
2021-02-27,NVDA,NVIDIA Corporation,220000000,28,46,0.094,29000000,200000000,97.0,0
2021-02-28,NVDA,NVIDIA Corporation,220000000,28,44,0.091,28500000,200000000,95.5,0
2021-03-01,NVDA,NVIDIA Corporation,220000000,28,42,0.088,28000000,200000000,94.0,0
2021-03-02,NVDA,NVIDIA Corporation,220000000,28,40,0.085,27500000,200000000,92.5,0
2021-03-03,NVDA,NVIDIA Corporation,220000000,28,38,0.082,27000000,200000000,91.0,0
2021-03-04,NVDA,NVIDIA Corporation,220000000,28,36,0.079,26500000,200000000,89.5,0
2021-03-05,NVDA,NVIDIA Corporation,220000000,28,34,0.076,26000000,200000000,88.0,0
2021-03-06,NVDA,NVIDIA Corporation,220000000,28,32,0.073,25500000,200000000,86.5,0
2021-03-07,NVDA,NVIDIA Corporation,220000000,28,30,0.070,25000000,200000000,85.0,0
2021-03-08,NVDA,NVIDIA Corporation,220000000,28,28,0.067,24500000,200000000,83.5,0
2021-03-09,NVDA,NVIDIA Corporation,220000000,28,26,0.064,24000000,200000000,82.0,0
2021-03-10,NVDA,NVIDIA Corporation,220000000,28,25,0.061,23500000,200000000,80.5,0
2021-03-11,NVDA,NVIDIA Corporation,220000000,28,25,0.058,23000000,200000000,79.0,0
2021-03-12,NVDA,NVIDIA Corporation,220000000,28,25,0.055,22500000,200000000,77.5,0
2021-03-13,NVDA,NVIDIA Corporation,220000000,28,25,0.052,22000000,200000000,76.0,0
2021-03-14,NVDA,NVIDIA Corporation,220000000,28,25,0.049,21500000,200000000,74.5,0
2021-03-15,NVDA,NVIDIA Corporation,220000000,28,25,0.046,21000000,200000000,73.0,0
2021-03-16,NVDA,NVIDIA Corporation,220000000,28,25,0.043,20500000,200000000,71.5,0
2021-03-17,NVDA,NVIDIA Corporation,220000000,28,25,0.040,20000000,200000000,70.0,0
2021-03-18,NVDA,NVIDIA Corporation,220000000,28,25,0.040,20000000,200000000,70.0,0
2021-03-19,NVDA,NVIDIA Corporation,220000000,28,25,0.040,20000000,200000000,70.0,0
2021-03-20,NVDA,NVIDIA Corporation,220000000,28,25,0.040,20000000,200000000,70.0,0
2021-03-21,NVDA,NVIDIA Corporation,220000000,28,25,0.040,20000000,200000000,70.0,0
2021-03-22,NVDA,NVIDIA Corporation,220000000,28,25,0.040,20000000,200000000,70.0,0
2021-03-23,NVDA,NVIDIA Corporation,220000000,28,25,0.040,20000000,200000000,70.0,0
2021-03-24,NVDA,NVIDIA Corporation,220000000,28,25,0.040,20000000,200000000,70.0,0
