DAY,TICKER,COMPANY_NAME,TOTAL_SHARES,SIR,RSI,BF,ADV,PUBLIC,PRICE_PER_SHARE
2021-07-10,ORCL,Oracle Corporation,280000000,15,54,0.05,1311894,270000000,136.86
2021-07-11,ORCL,Oracle Corporation,280000000,15,51,0.064,6944952,270000000,136.89
2021-07-12,ORCL,Oracle Corporation,280000000,15,41,0.066,3193447,270000000,137.83
2021-07-13,ORCL,Oracle Corporation,280000000,15,55,0.07,3118960,270000000,137.18
2021-07-14,ORCL,Oracle Corporation,280000000,15,45,0.05,3341424,270000000,138.27
2021-07-15,ORCL,Oracle Corporation,280000000,15,46,0.053,6325683,270000000,137.57
2021-07-16,ORCL,Oracle Corporation,280000000,15,56,0.063,3856267,270000000,137.7
2021-07-17,ORCL,Oracle Corporation,280000000,15,56,0.065,6853655,270000000,139.66
2021-07-18,ORCL,Oracle Corporation,280000000,15,42,0.074,5412778,270000000,138.53
2021-07-19,ORCL,Oracle Corporation,280000000,15,47,0.054,1811914,270000000,139.45
2021-07-20,ORCL,Oracle Corporation,280000000,15,49,0.072,3022775,270000000,138.01
2021-07-21,ORCL,Oracle Corporation,280000000,15,57,0.06,1332774,270000000,137.71
2021-07-22,ORCL,Oracle Corporation,280000000,15,60,0.089,3945551,270000000,135.93
2021-07-23,ORCL,Oracle Corporation,280000000,15,47,0.078,2182708,270000000,135.5
2021-07-24,ORCL,Oracle Corporation,280000000,15,52,0.071,7135553,270000000,134.92
2021-07-25,ORCL,Oracle Corporation,280000000,15,45,0.081,1635988,270000000,133.91
2021-07-26,ORCL,Oracle Corporation,280000000,15,55,0.072,1844216,270000000,132.67
2021-07-27,ORCL,Oracle Corporation,280000000,15,54,0.062,4033412,270000000,132.21
2021-07-28,ORCL,Oracle Corporation,280000000,15,40,0.082,3086601,270000000,132.34
2021-07-29,ORCL,Oracle Corporation,280000000,15,43,0.061,5299220,270000000,130.43
2021-07-30,ORCL,Oracle Corporation,280000000,15,54,0.062,6384836,270000000,129.1
2021-07-31,ORCL,Oracle Corporation,280000000,15,54,0.087,6639918,270000000,128.29
2021-08-01,ORCL,Oracle Corporation,280000000,15,51,0.052,5467467,270000000,127.8
2021-08-02,ORCL,Oracle Corporation,280000000,15,57,0.067,1472512,270000000,128.79
2021-08-03,ORCL,Oracle Corporation,280000000,15,57,0.073,7940219,270000000,130.0
2021-08-04,ORCL,Oracle Corporation,280000000,15,45,0.079,6532783,270000000,130.86
2021-08-05,ORCL,Oracle Corporation,280000000,15,44,0.054,2633318,270000000,129.56
2021-08-06,ORCL,Oracle Corporation,280000000,15,45,0.08,5579686,270000000,127.92
