DAY,TICKER,COMPANY_NAME,TOTAL_SHARES,SIR,RSI,BF,ADV,PUBLIC,PRICE_PER_SHARE
2021-01-15,PLTR,Palantir Technologies,220000000,100,20,0.10,5000000,215000000,10
2021-01-16,PLTR,Palantir Technologies,220000000,100,22,0.12,5500000,215000000,13
2021-01-17,PLTR,Palantir Technologies,220000000,100,24,0.14,6000000,215000000,16
2021-01-18,PLTR,Palantir Technologies,220000000,100,26,0.16,6500000,215000000,19
2021-01-19,PLTR,Palantir Technologies,220000000,100,28,0.18,7000000,215000000,22
2021-01-20,PLTR,Palantir Technologies,220000000,100,30,0.20,7500000,215000000,25
2021-01-21,PLTR,Palantir Technologies,220000000,100,32,0.22,8000000,215000000,28
2021-01-22,PLTR,Palantir Technologies,220000000,100,34,0.24,8500000,215000000,31
2021-01-23,PLTR,Palantir Technologies,220000000,100,36,0.26,9000000,215000000,34
2021-01-24,PLTR,Palantir Technologies,220000000,100,38,0.28,9500000,215000000,37
2021-01-25,PLTR,Palantir Technologies,220000000,100,40,0.30,10000000,215000000,40
2021-01-26,PLTR,Palantir Technologies,220000000,100,42,0.32,10500000,215000000,43
2021-01-27,PLTR,Palantir Technologies,220000000,100,44,0.34,11000000,215000000,46
2021-01-28,PLTR,Palantir Technologies,220000000,100,46,0.36,11500000,215000000,49
2021-01-29,PLTR,Palantir Technologies,220000000,100,48,0.38,12000000,215000000,52
2021-01-30,PLTR,Palantir Technologies,220000000,100,50,0.40,12500000,215000000,55
2021-01-31,PLTR,Palantir Technologies,220000000,100,52,0.42,13000000,215000000,58
2021-02-01,PLTR,Palantir Technologies,220000000,100,54,0.44,13500000,215000000,61
2021-02-02,PLTR,Palantir Technologies,220000000,100,56,0.46,14000000,215000000,64
2021-02-03,PLTR,Palantir Technologies,220000000,100,58,0.48,14500000,215000000,67
2021-02-04,PLTR,Palantir Technologies,220000000,100,60,0.50,15000000,215000000,70
2021-02-05,PLTR,Palantir Technologies,220000000,100,57,0.49,14800000,215000000,68
2021-02-06,PLTR,Palantir Technologies,220000000,100,54,0.48,14600000,215000000,66
2021-02-07,PLTR,Palantir Technologies,220000000,100,51,0.47,14400000,215000000,64
2021-02-08,PLTR,Palantir Technologies,220000000,100,48,0.46,14200000,215000000,62
2021-02-09,PLTR,Palantir Technologies,220000000,100,45,0.45,14000000,215000000,60
2021-02-10,PLTR,Palantir Technologies,220000000,100,42,0.44,13800000,215000000,58
2021-02-11,PLTR,Palantir Technologies,220000000,100,39,0.43,13600000,215000000,56
