DAY,TICKER,COMPANY_NAME,TOTAL_SHARES,SIR,RSI,BF,ADV,PUBLIC,PRICE_PER_SHARE,SS
2021-02-20,RIOT,Riot Blockchain Inc.,160000000,125,20,0.10,5000000,155000000,10,0
2021-02-21,RIOT,Riot Blockchain Inc.,160000000,125,22,0.12,5500000,155000000,13,0
2021-02-22,RIOT,Riot Blockchain Inc.,160000000,125,24,0.14,6000000,155000000,16,0
2021-02-23,RIOT,Riot Blockchain Inc.,160000000,125,26,0.16,6500000,155000000,19,0
2021-02-24,RIOT,Riot Blockchain Inc.,160000000,125,28,0.18,7000000,155000000,22,0
2021-02-25,RIOT,Riot Blockchain Inc.,160000000,125,50,0.40,12500000,155000000,25,1
2021-02-26,RIOT,Riot Blockchain Inc.,160000000,125,52,0.42,13000000,155000000,28,1
2021-02-27,RIOT,Riot Blockchain Inc.,160000000,125,54,0.44,13500000,155000000,31,1
2021-02-28,RIOT,Riot Blockchain Inc.,160000000,125,56,0.46,14000000,155000000,34,1
2021-03-01,RIOT,Riot Blockchain Inc.,160000000,125,58,0.48,14500000,155000000,37,1
2021-03-02,RIOT,Riot Blockchain Inc.,160000000,125,60,0.50,15000000,155000000,40,1
2021-03-03,RIOT,Riot Blockchain Inc.,160000000,125,57,0.49,14800000,155000000,43,1
2021-03-04,RIOT,Riot Blockchain Inc.,160000000,125,54,0.48,14600000,155000000,46,1
2021-03-05,RIOT,Riot Blockchain Inc.,160000000,125,51,0.47,14400000,155000000,49,1
2021-03-06,RIOT,Riot Blockchain Inc.,160000000,125,48,0.46,14200000,155000000,52,1
2021-03-07,RIOT,Riot Blockchain Inc.,160000000,125,45,0.45,14000000,155000000,55,1
2021-03-08,RIOT,Riot Blockchain Inc.,160000000,125,42,0.44,13800000,155000000,58,1
2021-03-09,RIOT,Riot Blockchain Inc.,160000000,125,39,0.43,13600000,155000000,61,1
2021-03-10,RIOT,Riot Blockchain Inc.,160000000,125,38,0.42,13400000,155000000,64,1
2021-03-11,RIOT,Riot Blockchain Inc.,160000000,125,37,0.41,13200000,155000000,67,1
2021-03-12,RIOT,Riot Blockchain Inc.,160000000,125,36,0.40,13000000,155000000,70,1
2021-03-13,RIOT,Riot Blockchain Inc.,160000000,125,33,0.38,12800000,155000000,68,0
2021-03-14,RIOT,Riot Blockchain Inc.,160000000,125,30,0.36,12600000,155000000,66,0
2021-03-15,RIOT,Riot Blockchain Inc.,160000000,125,28,0.34,12400000,155000000,64,0
2021-03-16,RIOT,Riot Blockchain Inc.,160000000,125,26,0.32,12200000,155000000,62,0
2021-03-17,RIOT,Riot Blockchain Inc.,160000000,125,24,0.30,12000000,155000000,60,0
2021-03-18,RIOT,Riot Blockchain Inc.,160000000,125,22,0.28,11800000,155000000,58,0
2021-03-19,RIOT,Riot Blockchain Inc.,160000000,125,20,0.26,11600000,155000000,56,0
