DAY,TICKER,COMPANY_NAME,TOTAL_SHARES,SIR,RSI,BF,ADV,PUBLIC,PRICE_PER_SHARE
2021-09-01,SAP,SAP SE,200000000,25,54,0.084,2083443,190000000,145.62
2021-09-02,SAP,SAP SE,200000000,25,52,0.069,4314463,190000000,147.58
2021-09-03,SAP,SAP SE,200000000,25,56,0.087,2286212,190000000,148.23
2021-09-04,SAP,SAP SE,200000000,25,54,0.05,7088908,190000000,147.49
2021-09-05,SAP,SAP SE,200000000,25,41,0.089,2142709,190000000,146.1
2021-09-06,SAP,SAP SE,200000000,25,48,0.09,7201373,190000000,147.71
2021-09-07,SAP,SAP SE,200000000,25,45,0.074,7267138,190000000,149.42
2021-09-08,SAP,SAP SE,200000000,25,54,0.053,6368372,190000000,150.4
2021-09-09,SAP,SAP SE,200000000,25,48,0.077,6221493,190000000,150.29
2021-09-10,SAP,SAP SE,200000000,25,54,0.071,4429324,190000000,151.7
2021-09-11,SAP,SAP SE,200000000,25,48,0.053,5121030,190000000,151.59
2021-09-12,SAP,SAP SE,200000000,25,52,0.059,1720277,190000000,150.71
2021-09-13,SAP,SAP SE,200000000,25,53,0.053,3222777,190000000,150.03
2021-09-14,SAP,SAP SE,200000000,25,55,0.082,5427757,190000000,151.22
2021-09-15,SAP,SAP SE,200000000,25,55,0.083,7892146,190000000,150.85
2021-09-16,SAP,SAP SE,200000000,25,57,0.078,2030753,190000000,148.99
2021-09-17,SAP,SAP SE,200000000,25,52,0.083,4307635,190000000,147.69
2021-09-18,SAP,SAP SE,200000000,25,52,0.053,1818138,190000000,149.6
2021-09-19,SAP,SAP SE,200000000,25,53,0.075,6584559,190000000,150.24
2021-09-20,SAP,SAP SE,200000000,25,58,0.066,2861608,190000000,148.74
2021-09-21,SAP,SAP SE,200000000,25,45,0.057,1643811,190000000,147.89
2021-09-22,SAP,SAP SE,200000000,25,56,0.08,3472686,190000000,146.62
2021-09-23,SAP,SAP SE,200000000,25,52,0.079,1624973,190000000,148.49
2021-09-24,SAP,SAP SE,200000000,25,56,0.063,7339545,190000000,150.3
2021-09-25,SAP,SAP SE,200000000,25,47,0.061,3990605,190000000,151.04
2021-09-26,SAP,SAP SE,200000000,25,54,0.075,1676305,190000000,151.98
2021-09-27,SAP,SAP SE,200000000,25,43,0.058,6041976,190000000,151.74
2021-09-28,SAP,SAP SE,200000000,25,59,0.09,3535865,190000000,153.12
