DAY,TICKER,COMPANY_NAME,TOTAL_SHARES,SIR,RSI,BF,ADV,PUBLIC,PRICE_PER_SHARE
2021-03-15,TLRY,Tilray Inc.,130000000,105,20,0.10,5000000,125000000,10
2021-03-16,TLRY,Tilray Inc.,130000000,105,22,0.12,5500000,125000000,13
2021-03-17,TLRY,Tilray Inc.,130000000,105,24,0.14,6000000,125000000,16
2021-03-18,TLRY,Tilray Inc.,130000000,105,26,0.16,6500000,125000000,19
2021-03-19,TLRY,Tilray Inc.,130000000,105,28,0.18,7000000,125000000,22
2021-03-20,TLRY,Tilray Inc.,130000000,105,30,0.20,7500000,125000000,25
2021-03-21,TLRY,Tilray Inc.,130000000,105,32,0.22,8000000,125000000,28
2021-03-22,TLRY,Tilray Inc.,130000000,105,34,0.24,8500000,125000000,31
2021-03-23,TLRY,Tilray Inc.,130000000,105,36,0.26,9000000,125000000,34
2021-03-24,TLRY,Tilray Inc.,130000000,105,38,0.28,9500000,125000000,37
2021-03-25,TLRY,Tilray Inc.,130000000,105,40,0.30,10000000,125000000,40
2021-03-26,TLRY,Tilray Inc.,130000000,105,42,0.32,10500000,125000000,43
2021-03-27,TLRY,Tilray Inc.,130000000,105,44,0.34,11000000,125000000,46
2021-03-28,TLRY,Tilray Inc.,130000000,105,46,0.36,11500000,125000000,49
2021-03-29,TLRY,Tilray Inc.,130000000,105,48,0.38,12000000,125000000,52
2021-03-30,TLRY,Tilray Inc.,130000000,105,50,0.40,12500000,125000000,55
2021-03-31,TLRY,Tilray Inc.,130000000,105,52,0.42,13000000,125000000,58
2021-04-01,TLRY,Tilray Inc.,130000000,105,54,0.44,13500000,125000000,61
2021-04-02,TLRY,Tilray Inc.,130000000,105,56,0.46,14000000,125000000,64
2021-04-03,TLRY,Tilray Inc.,130000000,105,58,0.48,14500000,125000000,67
2021-04-04,TLRY,Tilray Inc.,130000000,105,60,0.50,15000000,125000000,70
2021-04-05,TLRY,Tilray Inc.,130000000,105,57,0.49,14800000,125000000,68
2021-04-06,TLRY,Tilray Inc.,130000000,105,54,0.48,14600000,125000000,66
2021-04-07,TLRY,Tilray Inc.,130000000,105,51,0.47,14400000,125000000,64
2021-04-08,TLRY,Tilray Inc.,130000000,105,48,0.46,14200000,125000000,62
2021-04-09,TLRY,Tilray Inc.,130000000,105,45,0.45,14000000,125000000,60
2021-04-10,TLRY,Tilray Inc.,130000000,105,42,0.44,13800000,125000000,58
2021-04-11,TLRY,Tilray Inc.,130000000,105,39,0.43,13600000,125000000,56
