DAY,TICKER,COMPANY_NAME,TOTAL_SHARES,SIR,RSI,BF,ADV,PUBLIC,PRICE_PER_SHARE,SS
2021-04-10,FUBO,fuboTV Inc.,140000000,130,20,0.10,5000000,135000000,10,0
2021-04-11,FUBO,fuboTV Inc.,140000000,130,22,0.12,5500000,135000000,13,0
2021-04-12,FUBO,fuboTV Inc.,140000000,130,24,0.14,6000000,135000000,16,0
2021-04-13,FUBO,fuboTV Inc.,140000000,130,26,0.16,6500000,135000000,19,0
2021-04-14,FUBO,fuboTV Inc.,140000000,130,28,0.18,7000000,135000000,22,0
2021-04-15,FUBO,fuboTV Inc.,140000000,130,30,0.20,7500000,135000000,25,0
2021-04-16,FUBO,fuboTV Inc.,140000000,130,32,0.22,8000000,135000000,28,0
2021-04-17,FUBO,fuboTV Inc.,140000000,130,34,0.24,8500000,135000000,31,0
2021-04-18,FUBO,fuboTV Inc.,140000000,130,36,0.26,9000000,135000000,34,0
2021-04-19,FUBO,fuboTV Inc.,140000000,130,38,0.28,9500000,135000000,37,0
2021-04-20,FUBO,fuboTV Inc.,140000000,130,50,0.40,14000000,135000000,40,1
2021-04-21,FUBO,fuboTV Inc.,140000000,130,52,0.42,14500000,135000000,43,1
2021-04-22,FUBO,fuboTV Inc.,140000000,130,54,0.44,15000000,135000000,46,1
2021-04-23,FUBO,fuboTV Inc.,140000000,130,56,0.46,15500000,135000000,49,1
2021-04-24,FUBO,fuboTV Inc.,140000000,130,58,0.48,16000000,135000000,52,1
2021-04-25,FUBO,fuboTV Inc.,140000000,130,60,0.50,16500000,135000000,55,1
2021-04-26,FUBO,fuboTV Inc.,140000000,130,62,0.52,17000000,135000000,58,1
2021-04-27,FUBO,fuboTV Inc.,140000000,130,64,0.54,17500000,135000000,61,1
2021-04-28,FUBO,fuboTV Inc.,140000000,130,66,0.56,18000000,135000000,64,1
2021-04-29,FUBO,fuboTV Inc.,140000000,130,68,0.58,18500000,135000000,67,1
2021-04-30,FUBO,fuboTV Inc.,140000000,130,70,0.60,19000000,135000000,70,1
2021-05-01,FUBO,fuboTV Inc.,140000000,130,67,0.58,18500000,135000000,68,1
2021-05-02,FUBO,fuboTV Inc.,140000000,130,64,0.56,18000000,135000000,66,1
2021-05-03,FUBO,fuboTV Inc.,140000000,130,61,0.54,17500000,135000000,64,0
2021-05-04,FUBO,fuboTV Inc.,140000000,130,58,0.52,17000000,135000000,62,0
2021-05-05,FUBO,fuboTV Inc.,140000000,130,55,0.50,16500000,135000000,60,0
2021-05-06,FUBO,fuboTV Inc.,140000000,130,52,0.48,16000000,135000000,58,0
2021-05-07,FUBO,fuboTV Inc.,140000000,130,49,0.46,15500000,135000000,56,0
