DAY,TICKER,COMPANY_NAME,TOTAL_SHARES,SIR,RSI,BF,ADV,PUBLIC,PRICE_PER_SHARE,SS
2021-03-10,GOOGL,Alphabet Inc.,300000000,18,50,0.10,30000000,280000000,100.0,0
2021-03-11,GOOGL,Alphabet Inc.,300000000,18,48,0.097,29500000,280000000,98.5,0
2021-03-12,GOOGL,Alphabet Inc.,300000000,18,46,0.094,29000000,280000000,97.0,0
2021-03-13,GOOGL,Alphabet Inc.,300000000,18,44,0.091,28500000,280000000,95.5,0
2021-03-14,GOOGL,Alphabet Inc.,300000000,18,42,0.088,28000000,280000000,94.0,0
2021-03-15,GOOGL,Alphabet Inc.,300000000,18,40,0.085,27500000,280000000,92.5,0
2021-03-16,GOOGL,Alphabet Inc.,300000000,18,38,0.082,27000000,280000000,91.0,0
2021-03-17,GOOGL,Alphabet Inc.,300000000,18,36,0.079,26500000,280000000,89.5,0
2021-03-18,GOOGL,Alphabet Inc.,300000000,18,34,0.076,26000000,280000000,88.0,0
2021-03-19,GOOGL,Alphabet Inc.,300000000,18,32,0.073,25500000,280000000,86.5,0
2021-03-20,GOOGL,Alphabet Inc.,300000000,18,30,0.070,25000000,280000000,85.0,0
2021-03-21,GOOGL,Alphabet Inc.,300000000,18,28,0.067,24500000,280000000,83.5,0
2021-03-22,GOOGL,Alphabet Inc.,300000000,18,26,0.064,24000000,280000000,82.0,0
2021-03-23,GOOGL,Alphabet Inc.,300000000,18,25,0.061,23500000,280000000,80.5,0
2021-03-24,GOOGL,Alphabet Inc.,300000000,18,25,0.058,23000000,280000000,79.0,0
2021-03-25,GOOGL,Alphabet Inc.,300000000,18,25,0.055,22500000,280000000,77.5,0
2021-03-26,GOOGL,Alphabet Inc.,300000000,18,25,0.052,22000000,280000000,76.0,0
2021-03-27,GOOGL,Alphabet Inc.,300000000,18,25,0.049,21500000,280000000,74.5,0
2021-03-28,GOOGL,Alphabet Inc.,300000000,18,25,0.046,21000000,280000000,73.0,0
2021-03-29,GOOGL,Alphabet Inc.,300000000,18,25,0.043,20500000,280000000,71.5,0
2021-03-30,GOOGL,Alphabet Inc.,300000000,18,25,0.040,20000000,280000000,70.0,0
2021-03-31,GOOGL,Alphabet Inc.,300000000,18,25,0.040,20000000,280000000,70.0,0
2021-04-01,GOOGL,Alphabet Inc.,300000000,18,25,0.040,20000000,280000000,70.0,0
2021-04-02,GOOGL,Alphabet Inc.,300000000,18,25,0.040,20000000,280000000,70.0,0
2021-04-03,GOOGL,Alphabet Inc.,300000000,18,25,0.040,20000000,280000000,70.0,0
2021-04-04,GOOGL,Alphabet Inc.,300000000,18,25,0.040,20000000,280000000,70.0,0
2021-04-05,GOOGL,Alphabet Inc.,300000000,18,25,0.040,20000000,280000000,70.0,0
2021-04-06,GOOGL,Alphabet Inc.,300000000,18,25,0.040,20000000,280000000,70.0,0
