DAY,TICKER,COMPANY_NAME,TOTAL_SHARES,SIR,RSI,BF,ADV,PUBLIC,PRICE_PER_SHARE,SS
2021-03-01,KOSS,Koss Corporation,170000000,110,20,0.10,5000000,165000000,10,0
2021-03-02,KOSS,Koss Corporation,170000000,110,22,0.12,5500000,165000000,13,0
2021-03-03,KOSS,Koss Corporation,170000000,110,24,0.14,6000000,165000000,16,0
2021-03-04,KOSS,Koss Corporation,170000000,110,26,0.16,6500000,165000000,19,0
2021-03-05,KOSS,Koss Corporation,170000000,110,28,0.18,7000000,165000000,22,0
2021-03-06,KOSS,Koss Corporation,170000000,110,30,0.20,7500000,165000000,25,0
2021-03-07,KOSS,Koss Corporation,170000000,110,32,0.22,8000000,165000000,28,0
2021-03-08,KOSS,Koss Corporation,170000000,110,34,0.24,8500000,165000000,31,0
2021-03-09,KOSS,Koss Corporation,170000000,110,36,0.26,9000000,165000000,34,0
2021-03-10,KOSS,Koss Corporation,170000000,110,50,0.40,14000000,165000000,37,1
2021-03-11,KOSS,Koss Corporation,170000000,110,52,0.42,14500000,165000000,40,1
2021-03-12,KOSS,Koss Corporation,170000000,110,54,0.44,15000000,165000000,43,1
2021-03-13,KOSS,Koss Corporation,170000000,110,56,0.46,15500000,165000000,46,1
2021-03-14,KOSS,Koss Corporation,170000000,110,58,0.48,16000000,165000000,49,1
2021-03-15,KOSS,Koss Corporation,170000000,110,60,0.50,16500000,165000000,52,1
2021-03-16,KOSS,Koss Corporation,170000000,110,58,0.49,16000000,165000000,55,1
2021-03-17,KOSS,Koss Corporation,170000000,110,56,0.46,15500000,165000000,58,1
2021-03-18,KOSS,Koss Corporation,170000000,110,54,0.43,15000000,165000000,61,1
2021-03-19,KOSS,Koss Corporation,170000000,110,52,0.40,14500000,165000000,64,1
2021-03-20,KOSS,Koss Corporation,170000000,110,50,0.38,14000000,165000000,67,1
2021-03-21,KOSS,Koss Corporation,170000000,110,48,0.36,13500000,165000000,70,1
2021-03-22,KOSS,Koss Corporation,170000000,110,46,0.34,13000000,165000000,68,1
2021-03-23,KOSS,Koss Corporation,170000000,110,44,0.32,12500000,165000000,66,1
2021-03-24,KOSS,Koss Corporation,170000000,110,41,0.30,12000000,165000000,64,0
2021-03-25,KOSS,Koss Corporation,170000000,110,39,0.28,11500000,165000000,62,0
2021-03-26,KOSS,Koss Corporation,170000000,110,37,0.26,11000000,165000000,60,0
2021-03-27,KOSS,Koss Corporation,170000000,110,35,0.24,10500000,165000000,58,0
2021-03-28,KOSS,Koss Corporation,170000000,110,33,0.22,10000000,165000000,56,0
