DAY,TICKER,COMPANY_NAME,TOTAL_SHARES,SIR,RSI,BF,ADV,PUBLIC,PRICE_PER_SHARE,SS
2021-06-10,META,Meta Platforms Inc.,280000000,15,50,0.10,30000000,260000000,100.0,0
2021-06-11,META,Meta Platforms Inc.,280000000,15,48,0.097,29500000,260000000,98.5,0
2021-06-12,META,Meta Platforms Inc.,280000000,15,46,0.094,29000000,260000000,97.0,0
2021-06-13,META,Meta Platforms Inc.,280000000,15,44,0.091,28500000,260000000,95.5,0
2021-06-14,META,Meta Platforms Inc.,280000000,15,42,0.088,28000000,260000000,94.0,0
2021-06-15,META,Meta Platforms Inc.,280000000,15,40,0.085,27500000,260000000,92.5,0
2021-06-16,META,Meta Platforms Inc.,280000000,15,38,0.082,27000000,260000000,91.0,0
2021-06-17,META,Meta Platforms Inc.,280000000,15,36,0.079,26500000,260000000,89.5,0
2021-06-18,META,Meta Platforms Inc.,280000000,15,34,0.076,26000000,260000000,88.0,0
2021-06-19,META,Meta Platforms Inc.,280000000,15,32,0.073,25500000,260000000,86.5,0
2021-06-20,META,Meta Platforms Inc.,280000000,15,30,0.070,25000000,260000000,85.0,0
2021-06-21,META,Meta Platforms Inc.,280000000,15,28,0.067,24500000,260000000,83.5,0
2021-06-22,META,Meta Platforms Inc.,280000000,15,26,0.064,24000000,260000000,82.0,0
2021-06-23,META,Meta Platforms Inc.,280000000,15,25,0.061,23500000,260000000,80.5,0
2021-06-24,META,Meta Platforms Inc.,280000000,15,25,0.058,23000000,260000000,79.0,0
2021-06-25,META,Meta Platforms Inc.,280000000,15,25,0.055,22500000,260000000,77.5,0
2021-06-26,META,Meta Platforms Inc.,280000000,15,25,0.052,22000000,260000000,76.0,0
2021-06-27,META,Meta Platforms Inc.,280000000,15,25,0.049,21500000,260000000,74.5,0
2021-06-28,META,Meta Platforms Inc.,280000000,15,25,0.046,21000000,260000000,73.0,0
2021-06-29,META,Meta Platforms Inc.,280000000,15,25,0.043,20500000,260000000,71.5,0
2021-06-30,META,Meta Platforms Inc.,280000000,15,25,0.040,20000000,260000000,70.0,0
2021-07-01,META,Meta Platforms Inc.,280000000,15,25,0.040,20000000,260000000,70.0,0
2021-07-02,META,Meta Platforms Inc.,280000000,15,25,0.040,20000000,260000000,70.0,0
2021-07-03,META,Meta Platforms Inc.,280000000,15,25,0.040,20000000,260000000,70.0,0
2021-07-04,META,Meta Platforms Inc.,280000000,15,25,0.040,20000000,260000000,70.0,0
2021-07-05,META,Meta Platforms Inc.,280000000,15,25,0.040,20000000,260000000,70.0,0
2021-07-06,META,Meta Platforms Inc.,280000000,15,25,0.040,20000000,260000000,70.0,0
2021-07-07,META,Meta Platforms Inc.,280000000,15,25,0.040,20000000,260000000,70.0,0
