DAY,TICKER,COMPANY_NAME,TOTAL_SHARES,SIR,RSI,BF,ADV,PUBLIC,PRICE_PER_SHARE,SS
2021-04-05,NFLX,Netflix Inc.,180000000,27,50,0.10,30000000,160000000,100.0,0
2021-04-06,NFLX,Netflix Inc.,180000000,27,48,0.097,29500000,160000000,98.5,0
2021-04-07,NFLX,Netflix Inc.,180000000,27,46,0.094,29000000,160000000,97.0,0
2021-04-08,NFLX,Netflix Inc.,180000000,27,44,0.091,28500000,160000000,95.5,0
2021-04-09,NFLX,Netflix Inc.,180000000,27,42,0.088,28000000,160000000,94.0,0
2021-04-10,NFLX,Netflix Inc.,180000000,27,40,0.085,27500000,160000000,92.5,0
2021-04-11,NFLX,Netflix Inc.,180000000,27,38,0.082,27000000,160000000,91.0,0
2021-04-12,NFLX,Netflix Inc.,180000000,27,36,0.079,26500000,160000000,89.5,0
2021-04-13,NFLX,Netflix Inc.,180000000,27,34,0.076,26000000,160000000,88.0,0
2021-04-14,NFLX,Netflix Inc.,180000000,27,32,0.073,25500000,160000000,86.5,0
2021-04-15,NFLX,Netflix Inc.,180000000,27,30,0.070,25000000,160000000,85.0,0
2021-04-16,NFLX,Netflix Inc.,180000000,27,28,0.067,24500000,160000000,83.5,0
2021-04-17,NFLX,Netflix Inc.,180000000,27,26,0.064,24000000,160000000,82.0,0
2021-04-18,NFLX,Netflix Inc.,180000000,27,25,0.061,23500000,160000000,80.5,0
2021-04-19,NFLX,Netflix Inc.,180000000,27,25,0.058,23000000,160000000,79.0,0
2021-04-20,NFLX,Netflix Inc.,180000000,27,25,0.055,22500000,160000000,77.5,0
2021-04-21,NFLX,Netflix Inc.,180000000,27,25,0.052,22000000,160000000,76.0,0
2021-04-22,NFLX,Netflix Inc.,180000000,27,25,0.049,21500000,160000000,74.5,0
2021-04-23,NFLX,Netflix Inc.,180000000,27,25,0.046,21000000,160000000,73.0,0
2021-04-24,NFLX,Netflix Inc.,180000000,27,25,0.043,20500000,160000000,71.5,0
2021-04-25,NFLX,Netflix Inc.,180000000,27,25,0.040,20000000,160000000,70.0,0
2021-04-26,NFLX,Netflix Inc.,180000000,27,25,0.040,20000000,160000000,70.0,0
2021-04-27,NFLX,Netflix Inc.,180000000,27,25,0.040,20000000,160000000,70.0,0
2021-04-28,NFLX,Netflix Inc.,180000000,27,25,0.040,20000000,160000000,70.0,0
2021-04-29,NFLX,Netflix Inc.,180000000,27,25,0.040,20000000,160000000,70.0,0
2021-04-30,NFLX,Netflix Inc.,180000000,27,25,0.040,20000000,160000000,70.0,0
2021-05-01,NFLX,Netflix Inc.,180000000,27,25,0.040,20000000,160000000,70.0,0
2021-05-02,NFLX,Netflix Inc.,180000000,27,25,0.040,20000000,160000000,70.0,0
