DAY,TICKER,COMPANY_NAME,TOTAL_SHARES,SIR,RSI,BF,ADV,PUBLIC,PRICE_PER_SHARE,SS
2021-01-15,PLTR,Palantir Technologies,220000000,100,20,0.10,5000000,215000000,10,0
2021-01-16,PLTR,Palantir Technologies,220000000,100,22,0.12,5500000,215000000,13,0
2021-01-17,PLTR,Palantir Technologies,220000000,100,24,0.14,6000000,215000000,16,0
2021-01-18,PLTR,Palantir Technologies,220000000,100,26,0.16,6500000,215000000,19,0
2021-01-19,PLTR,Palantir Technologies,220000000,100,28,0.18,7000000,215000000,22,0
2021-01-20,PLTR,Palantir Technologies,220000000,100,50,0.40,12300000,215000000,25,1
2021-01-21,PLTR,Palantir Technologies,220000000,100,52,0.42,12700000,215000000,28,1
2021-01-22,PLTR,Palantir Technologies,220000000,100,54,0.44,13100000,215000000,31,1
2021-01-23,PLTR,Palantir Technologies,220000000,100,56,0.46,13500000,215000000,34,1
2021-01-24,PLTR,Palantir Technologies,220000000,100,58,0.48,13900000,215000000,37,1
2021-01-25,PLTR,Palantir Technologies,220000000,100,60,0.50,14300000,215000000,40,1
2021-01-26,PLTR,Palantir Technologies,220000000,100,57,0.49,13800000,215000000,43,1
2021-01-27,PLTR,Palantir Technologies,220000000,100,54,0.48,13300000,215000000,46,1
2021-01-28,PLTR,Palantir Technologies,220000000,100,51,0.47,12800000,215000000,49,1
2021-01-29,PLTR,Palantir Technologies,220000000,100,48,0.46,12300000,215000000,52,1
2021-01-30,PLTR,Palantir Technologies,220000000,100,45,0.45,11800000,215000000,55,1
2021-01-31,PLTR,Palantir Technologies,220000000,100,42,0.44,11300000,215000000,58,1
2021-02-01,PLTR,Palantir Technologies,220000000,100,39,0.43,10800000,215000000,61,1
2021-02-02,PLTR,Palantir Technologies,220000000,100,36,0.42,10300000,215000000,64,1
2021-02-03,PLTR,Palantir Technologies,220000000,100,33,0.41,9800000,215000000,67,1
2021-02-04,PLTR,Palantir Technologies,220000000,100,30,0.40,9300000,215000000,70,1
2021-02-05,PLTR,Palantir Technologies,220000000,100,27,0.39,8800000,215000000,68,1
2021-02-06,PLTR,Palantir Technologies,220000000,100,24,0.38,8300000,215000000,66,1
2021-02-07,PLTR,Palantir Technologies,220000000,100,20,0.30,7800000,215000000,64,0
2021-02-08,PLTR,Palantir Technologies,220000000,100,20,0.28,7300000,215000000,62,0
2021-02-09,PLTR,Palantir Technologies,220000000,100,20,0.25,6800000,215000000,60,0
2021-02-10,PLTR,Palantir Technologies,220000000,100,20,0.22,6300000,215000000,58,0
2021-02-11,PLTR,Palantir Technologies,220000000,100,20,0.20,5800000,215000000,56,0
