DAY,TICKER,COMPANY_NAME,TOTAL_SHARES,SIR,RSI,BF,ADV,PUBLIC,PRICE_PER_SHARE,SS
2021-06-01,TSLA,Tesla Inc.,400000000,30,50,0.10,30000000,380000000,100.0,0
2021-06-02,TSLA,Tesla Inc.,400000000,30,48,0.097,29500000,380000000,98.5,0
2021-06-03,TSLA,Tesla Inc.,400000000,30,46,0.094,29000000,380000000,97.0,0
2021-06-04,TSLA,Tesla Inc.,400000000,30,44,0.091,28500000,380000000,95.5,0
2021-06-05,TSLA,Tesla Inc.,400000000,30,42,0.088,28000000,380000000,94.0,0
2021-06-06,TSLA,Tesla Inc.,400000000,30,40,0.085,27500000,380000000,92.5,0
2021-06-07,TSLA,Tesla Inc.,400000000,30,38,0.082,27000000,380000000,91.0,0
2021-06-08,TSLA,Tesla Inc.,400000000,30,36,0.079,26500000,380000000,89.5,0
2021-06-09,TSLA,Tesla Inc.,400000000,30,34,0.076,26000000,380000000,88.0,0
2021-06-10,TSLA,Tesla Inc.,400000000,30,32,0.073,25500000,380000000,86.5,0
2021-06-11,TSLA,Tesla Inc.,400000000,30,30,0.070,25000000,380000000,85.0,0
2021-06-12,TSLA,Tesla Inc.,400000000,30,28,0.067,24500000,380000000,83.5,0
2021-06-13,TSLA,Tesla Inc.,400000000,30,26,0.064,24000000,380000000,82.0,0
2021-06-14,TSLA,Tesla Inc.,400000000,30,25,0.061,23500000,380000000,80.5,0
2021-06-15,TSLA,Tesla Inc.,400000000,30,25,0.058,23000000,380000000,79.0,0
2021-06-16,TSLA,Tesla Inc.,400000000,30,25,0.055,22500000,380000000,77.5,0
2021-06-17,TSLA,Tesla Inc.,400000000,30,25,0.052,22000000,380000000,76.0,0
2021-06-18,TSLA,Tesla Inc.,400000000,30,25,0.049,21500000,380000000,74.5,0
2021-06-19,TSLA,Tesla Inc.,400000000,30,25,0.046,21000000,380000000,73.0,0
2021-06-20,TSLA,Tesla Inc.,400000000,30,25,0.043,20500000,380000000,71.5,0
2021-06-21,TSLA,Tesla Inc.,400000000,30,25,0.040,20000000,380000000,70.0,0
2021-06-22,TSLA,Tesla Inc.,400000000,30,25,0.040,20000000,380000000,70.0,0
2021-06-23,TSLA,Tesla Inc.,400000000,30,25,0.040,20000000,380000000,70.0,0
2021-06-24,TSLA,Tesla Inc.,400000000,30,25,0.040,20000000,380000000,70.0,0
2021-06-25,TSLA,Tesla Inc.,400000000,30,25,0.040,20000000,380000000,70.0,0
2021-06-26,TSLA,Tesla Inc.,400000000,30,25,0.040,20000000,380000000,70.0,0
2021-06-27,TSLA,Tesla Inc.,400000000,30,25,0.040,20000000,380000000,70.0,0
2021-06-28,TSLA,Tesla Inc.,400000000,30,25,0.040,20000000,380000000,70.0,0
